Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,n
kxlk-vyo,긁어요,,kxl.kvyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
kxlk-vStanxn,긁었다는,,kxl.kvStanxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
kxlk-vStvn,긁었던,,kxl.kvStvn,lk-v,lkv,0,0,,,0,lC+Vowel,1
kxlk-xlyvko,긁으려고,,kxl.kxlyvko,lk-x,lkx,0,0,,,0,lC+Vowel,1
kxlk-xmyvn,긁으면,,kxl.kxmyvn,lk-x,lkx,0,0,,,0,lC+Vowel,2
kxlk-xmyvnsv,긁으면서,,kxl.kxmyvnsv,lk-x,lkx,0,0,,,0,lC+Vowel,2
kxlk-xl,긁을,,kxl.kxl,lk-x,lkx,0,0,,,0,lC+Vowel,1
kxlk-xn,긁은,,kxl.kxn,lk-x,lkx,0,0,,,0,lC+Vowel,1
malk-a,맑아,,mal.ka,lk-a,lka,0,0,,,0,lC+Vowel,1
malk-acike,맑아지게,,mal.kacike,lk-a,lka,0,0,,,0,lC+Vowel,1
malk-aciko,맑아지고,,mal.kaciko,lk-a,lka,0,0,,,0,lC+Vowel,1
malk-acinxn,맑아지는,,mal.kacinxn,lk-a,lka,0,0,,,0,lC+Vowel,7
malk-acin,맑아진,,mal.kacin,lk-a,lka,0,0,,,0,lC+Vowel,1
malk-acintako,맑아진다고,,mal.kacintako,lk-a,lka,0,0,,,0,lC+Vowel,1
malk-acyvyo,맑아져요,,mal.kacyvyo,lk-a,lka,0,0,,,0,lC+Vowel,1
malk-asv,맑아서,,mal.kasv,lk-a,lka,0,0,,,0,lC+Vowel,3
malk-ato,맑아도,,mal.kato,lk-a,lka,0,0,,,0,lC+Vowel,1
malk-ayo,맑아요,,mal.kayo,lk-a,lka,0,0,,,0,lC+Vowel,1
malk-aStaka,맑았다가,,mal.kaStaka,lk-a,lka,0,0,,,0,lC+Vowel,2
malk-aStvn,맑았던,,mal.kaStvn,lk-a,lka,0,0,,,0,lC+Vowel,1
malk-aSvSkvtxnyo,맑았었거든요,,mal.kaSvSkvtxnyo,lk-a,lka,0,0,,,0,lC+Vowel,1
malk-aSxmyvn,맑았으면,,mal.kaSxmyvn,lk-a,lka,0,0,,,0,lC+Vowel,2
malk-xmyvn,맑으면,,mal.kxmyvn,lk-x,lkx,0,0,,,0,lC+Vowel,3
malk-xmyvnsv,맑으면서,,mal.kxmyvnsv,lk-x,lkx,0,0,,,0,lC+Vowel,1
malk-xl,맑을,,mal.kxl,lk-x,lkx,0,0,,,0,lC+Vowel,1
malk-xn,맑은,,mal.kxn,lk-x,lkx,0,0,,,0,lC+Vowel,59
nalk-a,낡아,,nal.ka,lk-a,lka,0,0,,,0,lC+Vowel,1
nalk-acyvSxl,낡아졌을,,nal.kacyvSxl,lk-a,lka,0,0,,,0,lC+Vowel,1
nalk-asv,낡아서,,nal.kasv,lk-a,lka,0,0,,,0,lC+Vowel,3
nalk-aSko,낡았고,,nal.kaSko,lk-a,lka,0,0,,,0,lC+Vowel,1
nalk-xn,낡은,,nal.kxn,lk-x,lkx,0,0,,,0,lC+Vowel,8
nvlp-idwiki,넓이뛰기,,nvl.pidwiki,lp-i,lpi,0,0,,,0,lC+Vowel,1
nvlp-v,넓어,,nvl.pv,lp-v,lpv,0,0,,,0,lC+Vowel,4
nvlp-vcikeSta,넓어지겠다,,nvl.pvcikeSta,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vciki,넓어지기,,nvl.pvciki,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vciko,넓어지고,,nvl.pvciko,lp-v,lpv,0,0,,,0,lC+Vowel,6
nvlp-vcimyvn,넓어지면,,nvl.pvcimyvn,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vcimyvnsv,넓어지면서,,nvl.pvcimyvnsv,lp-v,lpv,0,0,,,0,lC+Vowel,2
nvlp-vcinxn,넓어지는,,nvl.pvcinxn,lp-v,lpv,0,0,,,0,lC+Vowel,3
nvlp-vcinxnkuna,넓어지는구나,,nvl.pvcinxnkuna,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vcil,넓어질,,nvl.pvcil,lp-v,lpv,0,0,,,0,lC+Vowel,4
nvlp-vcilsulok,넓어질수록,,nvl.pvcilsulok,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vcin,넓어진,,nvl.pvcin,lp-v,lpv,0,0,,,0,lC+Vowel,3
nvlp-vcinta,넓어진다,,nvl.pvcinta,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vcintako,넓어진다고,,nvl.pvcintako,lp-v,lpv,0,0,,,0,lC+Vowel,3
nvlp-vcintanxn,넓어진다는,,nvl.pvcintanxn,lp-v,lpv,0,0,,,0,lC+Vowel,2
nvlp-vcyvSnxnte,넓어졌는데,,nvl.pvcyvSnxnte,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vcyvSta,넓어졌다,,nvl.pvcyvSta,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vcyvStako,넓어졌다고,,nvl.pvcyvStako,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vcyvSvyo,넓어졌어요,,nvl.pvcyvSvyo,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vcyvSxmyvn,넓어졌으면,,nvl.pvcyvSxmyvn,lp-v,lpv,0,0,,,0,lC+Vowel,2
nvlp-vkaciko,넓어가지고,,nvl.pvkaciko,lp-v,lpv,0,0,,,0,lC+Vowel,9
nvlp-vsv,넓어서,,nvl.pvsv,lp-v,lpv,0,0,,,0,lC+Vowel,14
nvlp-vya,넓어야,,nvl.pvya,lp-v,lpv,0,0,,,0,lC+Vowel,4
nvlp-vyaci,넓어야지,,nvl.pvyaci,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vyo,넓어요,,nvl.pvyo,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vSci,넓었지,,nvl.pvSci,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vSko,넓었고,,nvl.pvSko,lp-v,lpv,0,0,,,0,lC+Vowel,2
nvlp-vSnxnte,넓었는데,,nvl.pvSnxnte,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vSv,넓었어,,nvl.pvSv,lp-v,lpv,0,0,,,0,lC+Vowel,2
nvlp-vSvsv,넓었어서,,nvl.pvSvsv,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-vSxmyvn,넓었으면,,nvl.pvSxmyvn,lp-v,lpv,0,0,,,0,lC+Vowel,1
nvlp-xmyvn,넓으면,,nvl.pxmyvn,lp-x,lpx,0,0,,,0,lC+Vowel,1
nvlp-xniga,넓으니까,,nvl.pxniga,lp-x,lpx,0,0,,,0,lC+Vowel,2
nvlp-xnigan,넓으니깐,,nvl.pxnigan,lp-x,lpx,0,0,,,0,lC+Vowel,1
nvlp-xl,넓을,,nvl.pxl,lp-x,lpx,0,0,,,0,lC+Vowel,1
nvlp-xmi,넓음이,,nvl.pxmi,lp-x,lpx,0,0,,,0,lC+Vowel,1
nvlp-xn,넓은,,nvl.pxn,lp-x,lpx,0,0,,,0,lC+Vowel,90
nvlp-xnte,넓은데,,nvl.pxnte,lp-x,lpx,0,0,,,0,lC+Vowel,9
nvlp-xnteto,넓은데도,,nvl.pxnteto,lp-x,lpx,0,0,,,0,lC+Vowel,1
nxlk-v,늙어,,nxl.kv,lk-v,lkv,0,0,,,0,lC+Vowel,7
nxlk-vci,늙어지,,nxl.kvci,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vkacanhayo,늙어가잖아요,,nxl.kvkacanhayo,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vkaciko,늙어가지고,,nxl.kvkaciko,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vkako,늙어가고,,nxl.kvkako,lk-v,lkv,0,0,,,0,lC+Vowel,7
nxlk-vkamyvnsv,늙어가면서,,nxl.kvkamyvnsv,lk-v,lkv,0,0,,,0,lC+Vowel,6
nxlk-vkaniga,늙어가니까,,nxl.kvkaniga,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vkanxn,늙어가는,,nxl.kvkanxn,lk-v,lkv,0,0,,,0,lC+Vowel,5
nxlk-vkanxnkuna,늙어가는구나,,nxl.kvkanxnkuna,lk-v,lkv,0,0,,,0,lC+Vowel,2
nxlk-vkanxnkunalanxn,늙어가는구나라는,,nxl.kvkanxnkunalanxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vkasiko,늙어가시고,,nxl.kvkasiko,lk-v,lkv,0,0,,,0,lC+Vowel,2
nxlk-vkata,늙어가다,,nxl.kvkata,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vkacko,늙어갖고,,nxl.kvkacko,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vkalgapwa,늙어갈까봐,,nxl.kvkalgapwa,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vkantanxn,늙어간다는,,nxl.kvkantanxn,lk-v,lkv,0,0,,,0,lC+Vowel,2
nxlk-vpvlimyvnxn,늙어버리면은,,nxl.kvpvlimyvnxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vsv,늙어서,,nxl.kvsv,lk-v,lkv,0,0,,,0,lC+Vowel,23
nxlk-vsvgaci,늙어서까지,,nxl.kvsvgaci,lk-v,lkv,0,0,,,0,lC+Vowel,2
nxlk-vsvgacito,늙어서까지도,,nxl.kvsvgacito,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vsvnxn,늙어서는,,nxl.kvsvnxn,lk-v,lkv,0,0,,,0,lC+Vowel,2
nxlk-vsvto,늙어서도,,nxl.kvsvto,lk-v,lkv,0,0,,,0,lC+Vowel,6
nxlk-vto,늙어도,,nxl.kvto,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vS,늙었,,nxl.kvS,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vSciman,늙었지만,,nxl.kvSciman,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vScyo,늙었죠,,nxl.kvScyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vSkuna,늙었구나,,nxl.kvSkuna,lk-v,lkv,0,0,,,0,lC+Vowel,3
nxlk-vSna,늙었나,,nxl.kvSna,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vSta,늙었다,,nxl.kvSta,lk-v,lkv,0,0,,,0,lC+Vowel,2
nxlk-vStako,늙었다고,,nxl.kvStako,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vStalanxn,늙었다라는,,nxl.kvStalanxn,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vStvlakoyo,늙었더라고요,,nxl.kvStvlakoyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vSvyo,늙었어요,,nxl.kvSvyo,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vSxniga,늙었으니까,,nxl.kvSxniga,lk-v,lkv,0,0,,,0,lC+Vowel,1
nxlk-vSxl,늙었을,,nxl.kvSxl,lk-v,lkv,0,0,,,0,lC+Vowel,3
nxlk-xmyvn,늙으면,,nxl.kxmyvn,lk-x,lkx,0,0,,,0,lC+Vowel,12
nxlk-xmyvnxn,늙으면은,,nxl.kxmyvnxn,lk-x,lkx,0,0,,,0,lC+Vowel,2
nxlk-xsyvSnxnte,늙으셨는데,,nxl.kxsyvSnxnte,lk-x,lkx,0,0,,,0,lC+Vowel,1
nxlk-xl,늙을,,nxl.kxl,lk-x,lkx,0,0,,,0,lC+Vowel,5
nxlk-xn,늙은,,nxl.kxn,lk-x,lkx,0,0,,,0,lC+Vowel,8
nxlk-xni,늙은이,,nxl.kxni,lk-x,lkx,0,0,,,0,lC+Vowel,1
olk-amesinxn,옭아매시는,,ol.kamesinxn,lk-a,lka,0,0,,,0,lC+Vowel,1
olk-ameya,옭아매야,,ol.kameya,lk-a,lka,0,0,,,0,lC+Vowel,1
olm-a,옮아,,ol.ma,lm-a,lma,0,0,,,0,lC+Vowel,1
olm-akal,옮아갈,,ol.makal,lm-a,lma,0,0,,,0,lC+Vowel,1
olm-awasv,옮아와서,,ol.mawasv,lm-a,lma,0,0,,,0,lC+Vowel,1
olm-xl,옮을,,ol.mxl,lm-x,lmx,0,0,,,0,lC+Vowel,1
palk-a,밝아,,pal.ka,lk-a,lka,0,0,,,0,lC+Vowel,2
palk-aciko,밝아지고,,pal.kaciko,lk-a,lka,0,0,,,0,lC+Vowel,3
palk-acilyvko,밝아지려고,,pal.kacilyvko,lk-a,lka,0,0,,,0,lC+Vowel,1
palk-acimyvnsv,밝아지면서,,pal.kacimyvnsv,lk-a,lka,0,0,,,0,lC+Vowel,1
palk-acinxn,밝아지는,,pal.kacinxn,lk-a,lka,0,0,,,0,lC+Vowel,4
palk-acisin,밝아지신,,pal.kacisin,lk-a,lka,0,0,,,0,lC+Vowel,2
palk-acin,밝아진,,pal.kacin,lk-a,lka,0,0,,,0,lC+Vowel,3
palk-acyvSko,밝아졌고,,pal.kacyvSko,lk-a,lka,0,0,,,0,lC+Vowel,1
palk-acyvStako,밝아졌다고,,pal.kacyvStako,lk-a,lka,0,0,,,0,lC+Vowel,2
palk-acyvStatxnka,밝아졌다든가,,pal.kacyvStatxnka,lk-a,lka,0,0,,,0,lC+Vowel,1
palk-acyvStvla,밝아졌더라,,pal.kacyvStvla,lk-a,lka,0,0,,,0,lC+Vowel,1
palk-acyvStxnte,밝아졌든데,,pal.kacyvStxnte,lk-a,lka,0,0,,,0,lC+Vowel,1
palk-akaciko,밝아가지고,,pal.kakaciko,lk-a,lka,0,0,,,0,lC+Vowel,1
palk-asv,밝아서,,pal.kasv,lk-a,lka,0,0,,,0,lC+Vowel,1
palk-ayo,밝아요,,pal.kayo,lk-a,lka,0,0,,,0,lC+Vowel,2
palk-aStaka,밝았다가,,pal.kaStaka,lk-a,lka,0,0,,,0,lC+Vowel,2
palk-xmyvnsv,밝으면서,,pal.kxmyvnsv,lk-x,lkx,0,0,,,0,lC+Vowel,2
palk-xniga,밝으니까,,pal.kxniga,lk-x,lkx,0,0,,,0,lC+Vowel,1
palk-xmi,밝음이,,pal.kxmi,lk-x,lkx,0,0,,,0,lC+Vowel,2
palk-xmilako,밝음이라고,,pal.kxmilako,lk-x,lkx,0,0,,,0,lC+Vowel,1
palk-xmxl,밝음을,,pal.kxmxl,lk-x,lkx,0,0,,,0,lC+Vowel,1
palk-xn,밝은,,pal.kxn,lk-x,lkx,0,0,,,0,lC+Vowel,49
palk-xnte,밝은데,,pal.kxnte,lk-x,lkx,0,0,,,0,lC+Vowel,2
palp-a,밟아,,pal.pa,lp-a,lpa,0,0,,,0,lC+Vowel,4
palp-akaciko,밟아가지고,,pal.pakaciko,lp-a,lpa,0,0,,,0,lC+Vowel,4
palp-akamyvnsv,밟아가면서,,pal.pakamyvnsv,lp-a,lpa,0,0,,,0,lC+Vowel,1
palp-anakaya,밟아나가야,,pal.panakaya,lp-a,lpa,0,0,,,0,lC+Vowel,1
palp-apoko,밟아보고,,pal.papoko,lp-a,lpa,0,0,,,0,lC+Vowel,1
palp-asv,밟아서,,pal.pasv,lp-a,lpa,0,0,,,0,lC+Vowel,4
palp-ato,밟아도,,pal.pato,lp-a,lpa,0,0,,,0,lC+Vowel,1
palp-aya,밟아야,,pal.paya,lp-a,lpa,0,0,,,0,lC+Vowel,2
palp-aSnxnte,밟았는데,,pal.paSnxnte,lp-a,lpa,0,0,,,0,lC+Vowel,1
palp-aStako,밟았다고,,pal.paStako,lp-a,lpa,0,0,,,0,lC+Vowel,1
palp-aStvn,밟았던,,pal.paStvn,lp-a,lpa,0,0,,,0,lC+Vowel,2
palp-aSxl,밟았을,,pal.paSxl,lp-a,lpa,0,0,,,0,lC+Vowel,2
palp-xlyvko,밟으려고,,pal.pxlyvko,lp-x,lpx,0,0,,,0,lC+Vowel,2
palp-xmyvn,밟으면,,pal.pxmyvn,lp-x,lpx,0,0,,,0,lC+Vowel,4
palp-xmyvnsv,밟으면서,,pal.pxmyvnsv,lp-x,lpx,0,0,,,0,lC+Vowel,5
palp-xmyvnxn,밟으면은,,pal.pxmyvnxn,lp-x,lpx,0,0,,,0,lC+Vowel,1
palp-xsyvkaciko,밟으셔가지고,,pal.pxsyvkaciko,lp-x,lpx,0,0,,,0,lC+Vowel,1
palp-xl,밟을,,pal.pxl,lp-x,lpx,0,0,,,0,lC+Vowel,6
palp-xn,밟은,,pal.pxn,lp-x,lpx,0,0,,,0,lC+Vowel,8
pulk-xn,붉은,,pul.kxn,lk-x,lkx,0,0,,,0,lC+Vowel,13
pulk-xnsek,붉은색,,pul.kxnsek,lk-x,lkx,0,0,,,0,lC+Vowel,1
pulk-xnsekkwa,붉은색과,,pul.kxnsekkwa,lk-x,lkx,0,0,,,0,lC+Vowel,1
salm-a,삶아,,sal.ma,lm-a,lma,0,0,,,0,lC+Vowel,5
salm-acimyvn,삶아지면,,sal.macimyvn,lm-a,lma,0,0,,,0,lC+Vowel,1
salm-acukvna,삶아주거나,,sal.macukvna,lm-a,lma,0,0,,,0,lC+Vowel,1
salm-akaciko,삶아가지고,,sal.makaciko,lm-a,lma,0,0,,,0,lC+Vowel,8
salm-akatxnka,삶아가든가,,sal.makatxnka,lm-a,lma,0,0,,,0,lC+Vowel,1
salm-akacko,삶아갖고,,sal.makacko,lm-a,lma,0,0,,,0,lC+Vowel,2
salm-amvkko,삶아먹고,,sal.mamvkko,lm-a,lma,0,0,,,0,lC+Vowel,2
salm-anohxn,삶아놓은,,sal.manohxn,lm-a,lma,0,0,,,0,lC+Vowel,1
salm-anwaSv,삶아놨어,,sal.manwaSv,lm-a,lma,0,0,,,0,lC+Vowel,1
salm-asv,삶아서,,sal.masv,lm-a,lma,0,0,,,0,lC+Vowel,27
salm-asvto,삶아서도,,sal.masvto,lm-a,lma,0,0,,,0,lC+Vowel,1
salm-ato,삶아도,,sal.mato,lm-a,lma,0,0,,,0,lC+Vowel,2
salm-aya,삶아야,,sal.maya,lm-a,lma,0,0,,,0,lC+Vowel,1
salm-v,삶어,,sal.mv,lm-v,lmv,0,0,,,0,lC+Vowel,3
salm-x,삶으,,sal.mx,lm-x,lmx,0,0,,,0,lC+Vowel,1
salm-xla,삶으라,,sal.mxla,lm-x,lmx,0,0,,,0,lC+Vowel,1
salm-xlako,삶으라고,,sal.mxlako,lm-x,lmx,0,0,,,0,lC+Vowel,1
salm-xloSv,삶으로써,,sal.mxloSv,lm-x,lmx,0,0,,,0,lC+Vowel,1
salm-xmyvn,삶으면,,sal.mxmyvn,lm-x,lmx,0,0,,,0,lC+Vowel,1
salm-xmyvnxn,삶으면은,,sal.mxmyvnxn,lm-x,lmx,0,0,,,0,lC+Vowel,1
salm-xsyvkacko,삶으셔갖고,,sal.mxsyvkacko,lm-x,lmx,0,0,,,0,lC+Vowel,1
salm-xsyvStamyvnxn,삶으셨다면은,,sal.mxsyvStamyvnxn,lm-x,lmx,0,0,,,0,lC+Vowel,1
salm-xn,삶은,,sal.mxn,lm-x,lmx,0,0,,,0,lC+Vowel,18
talm-a,닮아,,tal.ma,lm-a,lma,0,0,,,0,lC+Vowel,6
talm-acyvStanxn,닮아졌다는,,tal.macyvStanxn,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aiSko,닮아있고,,tal.maiSko,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aiStako,닮아있다고,,tal.maiStako,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-akaci,닮아가지,,tal.makaci,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-akaciko,닮아가지고,,tal.makaciko,lm-a,lma,0,0,,,0,lC+Vowel,10
talm-akacimanxn,닮아가지마는,,tal.makacimanxn,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-akakin,닮아가긴,,tal.makakin,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-akako,닮아가고,,tal.makako,lm-a,lma,0,0,,,0,lC+Vowel,2
talm-akalyvko,닮아가려고,,tal.makalyvko,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-akanxn,닮아가는,,tal.makanxn,lm-a,lma,0,0,,,0,lC+Vowel,2
talm-akasv,닮아가서,,tal.makasv,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-akatvlakoyo,닮아가더라고요,,tal.makatvlakoyo,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-akal,닮아갈,,tal.makal,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-akan,닮아간,,tal.makan,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-akantako,닮아간다고,,tal.makantako,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-akantalanxn,닮아간다라는,,tal.makantalanxn,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-akantanxn,닮아간다는,,tal.makantanxn,lm-a,lma,0,0,,,0,lC+Vowel,2
talm-asv,닮아서,,tal.masv,lm-a,lma,0,0,,,0,lC+Vowel,29
talm-aS,닮았,,tal.maS,lm-a,lma,0,0,,,0,lC+Vowel,2
talm-aScimanxn,닮았지마는,,tal.maScimanxn,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSkeScyo,닮았겠죠,,tal.maSkeScyo,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSko,닮았고,,tal.maSko,lm-a,lma,0,0,,,0,lC+Vowel,11
talm-aSkuna,닮았구나,,tal.maSkuna,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSkvtxnyo,닮았거든요,,tal.maSkvtxnyo,lm-a,lma,0,0,,,0,lC+Vowel,4
talm-aSna,닮았나,,tal.maSna,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSnayo,닮았나요,,tal.maSnayo,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSne,닮았네,,tal.maSne,lm-a,lma,0,0,,,0,lC+Vowel,4
talm-aSnelan,닮았네란,,tal.maSnelan,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSnxnci,닮았는지,,tal.maSnxnci,lm-a,lma,0,0,,,0,lC+Vowel,3
talm-aSnxncinxn,닮았는지는,,tal.maSnxncinxn,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSnxnte,닮았는데,,tal.maSnxnte,lm-a,lma,0,0,,,0,lC+Vowel,3
talm-aSnxnteyo,닮았는데요,,tal.maSnxnteyo,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSnya,닮았냐,,tal.maSnya,lm-a,lma,0,0,,,0,lC+Vowel,2
talm-aSsxpniga,닮았습니까,,tal.maSsxpniga,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSsxpnita,닮았습니다,,tal.maSsxpnita,lm-a,lma,0,0,,,0,lC+Vowel,2
talm-aSta,닮았다,,tal.maSta,lm-a,lma,0,0,,,0,lC+Vowel,5
talm-aStaka,닮았다가,,tal.maStaka,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aStako,닮았다고,,tal.maStako,lm-a,lma,0,0,,,0,lC+Vowel,15
talm-aStakoto,닮았다고도,,tal.maStakoto,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aStalako,닮았다라고,,tal.maStalako,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aStalanxn,닮았다라는,,tal.maStalanxn,lm-a,lma,0,0,,,0,lC+Vowel,2
talm-aStanxn,닮았다는,,tal.maStanxn,lm-a,lma,0,0,,,0,lC+Vowel,10
talm-aStan,닮았단,,tal.maStan,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSteyo,닮았대요,,tal.maSteyo,lm-a,lma,0,0,,,0,lC+Vowel,3
talm-aStvla,닮았더라,,tal.maStvla,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSv,닮았어,,tal.maSv,lm-a,lma,0,0,,,0,lC+Vowel,4
talm-aSvyo,닮았어요,,tal.maSvyo,lm-a,lma,0,0,,,0,lC+Vowel,9
talm-aSxmyvn,닮았으면,,tal.maSxmyvn,lm-a,lma,0,0,,,0,lC+Vowel,6
talm-aSxniga,닮았으니까,,tal.maSxniga,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSxlga,닮았을까,,tal.maSxlga,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-aSxm,닮았음,,tal.maSxm,lm-a,lma,0,0,,,0,lC+Vowel,1
talm-v,닮어,,tal.mv,lm-v,lmv,0,0,,,0,lC+Vowel,1
talm-xkin,닮으긴,,tal.mxkin,lm-x,lmx,0,0,,,0,lC+Vowel,1
talm-xla,닮으라,,tal.mxla,lm-x,lmx,0,0,,,0,lC+Vowel,1
talm-xlyvko,닮으려고,,tal.mxlyvko,lm-x,lmx,0,0,,,0,lC+Vowel,2
talm-xniga,닮으니까,,tal.mxniga,lm-x,lmx,0,0,,,0,lC+Vowel,1
talm-xsin,닮으신,,tal.mxsin,lm-x,lmx,0,0,,,0,lC+Vowel,2
talm-xsyvsv,닮으셔서,,tal.mxsyvsv,lm-x,lmx,0,0,,,0,lC+Vowel,1
talm-xsyvSnayo,닮으셨나요,,tal.mxsyvSnayo,lm-x,lmx,0,0,,,0,lC+Vowel,2
talm-xsyvSta,닮으셨다,,tal.mxsyvSta,lm-x,lmx,0,0,,,0,lC+Vowel,1
talm-xsyvSvyo,닮으셨어요,,tal.mxsyvSvyo,lm-x,lmx,0,0,,,0,lC+Vowel,2
talm-xlga,닮을까,,tal.mxlga,lm-x,lmx,0,0,,,0,lC+Vowel,1
talm-xm,닮음,,tal.mxm,lm-x,lmx,0,0,,,0,lC+Vowel,1
talm-xn,닮은,,tal.mxn,lm-x,lmx,0,0,,,0,lC+Vowel,70
txnvlp-xn,드넓은,,txnvl.pxn,lp-x,lpx,0,0,,,0,lC+Vowel,4
xlP-vnohko,읊어놓고,,xl.Pvnohko,lP-v,lPv,0,0,,,0,lC+Vowel,1
xlP-vpolako,읊어보라고,,xl.Pvpolako,lP-v,lPv,0,0,,,0,lC+Vowel,1
xlP-xmyvnsv,읊으면서,,xl.Pxmyvnsv,lP-x,lPx,0,0,,,0,lC+Vowel,1
yalp-a,얇아,,yal.pa,lp-a,lpa,0,0,,,0,lC+Vowel,2
yalp-aciciman,얇아지지만,,yal.paciciman,lp-a,lpa,0,0,,,0,lC+Vowel,1
yalp-acinigan,얇아지니깐,,yal.pacinigan,lp-a,lpa,0,0,,,0,lC+Vowel,1
yalp-asv,얇아서,,yal.pasv,lp-a,lpa,0,0,,,0,lC+Vowel,2
yalp-ayo,얇아요,,yal.payo,lp-a,lpa,0,0,,,0,lC+Vowel,1
yalp-aSko,얇았고,,yal.paSko,lp-a,lpa,0,0,,,0,lC+Vowel,1
yalp-xn,얇은,,yal.pxn,lp-x,lpx,0,0,,,0,lC+Vowel,31
yalp-xnka,얇은가,,yal.pxnka,lp-x,lpx,0,0,,,0,lC+Vowel,1
