Morphology_R,,,Production_R,JunctureType,UR,SR,,,Nasalization,Lateralization,C_deletion,L_deletion,Tensification,Notes
Jalp-ke,,,Jalp.ge,lC+Obstruent,lp-k,lpg,,,NA,NA,0,0,yes,
Jalp-ta,,,Jalp.da,lC+Obstruent,lp-t,lpd,,,NA,NA,0,0,yes,
Jalp-ta,,,Jal.da,lC+Obstruent,lp-t,ld,,,NA,NA,1,0,yes,
nvlp-kin,,,nvlp.gin,lC+Obstruent,lp-k,lp,,,NA,NA,0,0,yes,
palp-ko,,,palp.go,lC+Obstruent,lp-k,lp,,,NA,NA,0,0,yes,
olm-kyv,,,oN.kyv,lC+Obstruent,lm-k,Nk,,,NA,NA,0,1,NA,
kxlk-v,,,gxlkv,lC+Vowel,lk-v,lkv,,,NA,NA,0,0,NA,
ilk-v,,,ikv,lC+Vowel,lk-v,lkv,,,NA,NA,0,0,NA,
ilk-vSvyo,,,ilkvtSvyo,lC+Vowel,lk-v,lkv,,,NA,NA,0,0,NA,
Jalp-a,,,Jalpayo,lC+Vowel,lp-a,lpa,,,NA,NA,0,0,NA,
nvlp-xn,,,nvlpxn,lC+Vowel,lp-x,lpx,,,NA,NA,0,0,NA,
ilk-v,,,ilkv,lC+Vowel,lk- v,lkv,,,NA,NA,0,0,NA,
ilk-v,,,ilkv,lC+Vowel,lk- v,lkv,,,NA,NA,0,0,NA,
ilk-v,,,ilkv,lC+Vowel,lk- v,lkv,,,NA,NA,0,0,NA,
ilk-xl,,,ilkxl,lC+Vowel,lk-x,lkx,,,NA,NA,0,0,NA,
ilk-xl,,,ilkxl,lC+Vowel,lk-x,lkx,,,NA,NA,0,0,NA,
ilk-xl,,,ilkxl,lC+Vowel,lk-x,lkx,,,NA,NA,0,0,NA,
cvlm-xn,,,cvlmxn,lC+Vowel,lm-x,lmx,,,NA,NA,0,0,NA,
cvlm-xl,,,cvlmxl,lC+Vowel,lm-x,lmx,,,NA,NA,0,0,NA,
Jalp-a,,,Jalpa,lC+Vowel,lp-a,lpa,,,NA,NA,0,0,NA,
Jalp-a,,,Jalpa,lC+Vowel,lp-a,lpa,,,NA,NA,0,0,NA,
nxlk-vSneyo,,,nxlkvnneyo,lC+Vowel,lk-v,lkv,,,NA,NA,0,0,NA,
talm-aSne,,,talmanne,lC+Vowel,lm-a,lma,,,NA,NA,0,0,NA,
talm-aStako,,,talmatdako,lC+Vowel,lm-a,lma,,,NA,NA,0,0,NA,
talm-xn,,,talmxn,lC+Vowel,lm-x,lmx,,,NA,NA,0,0,NA,
kxlk-vSta,,,kxlkvtda,lC+Vowel,lk-v,lkx,,,NA,NA,0,0,NA,
palp-xmyvn,,,palpxmyvn,lC+Vowel,lp-x,lpx,,,NA,NA,0,0,NA,
kxlk-xseyo,,,kxlkxseyo,lC+Vowel,lk-x,lkx,,,NA,NA,0,0,NA,
nvlp-v,,,nvlpv,lC+Vowel,lp-v,lpv,,,NA,NA,0,0,NA,
nvlp-v,,,nvlpv,lC+Vowel,lp-v,lpv,,,NA,NA,0,0,NA,
nvlp-xn,,,nvlpxn,lC+Vowel,lp-v,lpv,,,NA,NA,0,0,NA,
ilk-vSko,,,ilkvkgo,lC+Vowel,lk-v,lkv,,,NA,NA,1,0,NA,
