Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,notes,n,...1,Trial_Nr,Trial_Id,Exp_Subject_Id,OptionChosen,TargetWord,knowledge,StemType,Frequency,AffixInitialSegment,Stem_romanization,Affix_romanization,Word_romanization,Tensification,Nasalization,L_deletion,C_deletion,Lateralization,JunctureType
nxlk-nxn,늙는,능는,nxN.nxn,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
nxlk-nxn,늙는,능는,nxN.nxn,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
ilk-nxntatxnci,읽는다든지,읽는다든지,ilk.nxn.ta.txn.ci,lk-n,lkn,0.0,0.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
ilk-nxntatxnka,읽는다든가,잉는다덩가,iN.nxn.ta.tvN.ka,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
kxlk-nxn,긁는,긍는,kxN.nxn,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0.0,0.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
nxlk-nxn,늙는,능는,nxN.nxn,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1.0,0.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
kxlk-nxn,긁는,긍는,kxN.nxn,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
palp-nxntanxn,밟는다는,밤는다는,pam.nxn.ta.nxn,lp-n,mn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
ilk-nxnte,읽는데,잉는데,iN.nxn.te,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
ilk-nxntako,읽는다고,일는다고,il.nxn.ta.ko,lk-n,ln,1.0,0.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
talm-nxntako,닮는다고,달믄다고,tal.mxn.ta.ko,lm-n,lm,1.0,0.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0.0,0.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
ilk-nxn,읽는,읽는,ilk.nxn,lk-n,lkn,0.0,0.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
talm-nxn,닮는,담는,tam.nxn,lm-n,mn,0.0,1.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0.0,0.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
palp-nxn,밟는,밞는,palm.nxn,lp-n,lmn,0.0,0.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
nxlk-nxntacanha,늙는다잖아,능는다자나,nxN.nxn.ta.ca.na,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
ilk-nxnte,읽는데,잉는데,iN.nxn.te,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
talm-nxntamyvnsv,닮는다면서,담는다면서,tam.nxn.ta.myvn.sv,lm-n,mn,0.0,1.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
Jalp-nyako,짧냐고,짭냐고,Jap.nya.ko,lp-n,pn,0.0,1.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0.0,0.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
salm-nxn,삶는,쌈는,Sam.nxn,lm-n,mn,0.0,1.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
talm-nxn,닮는,담는,tam.nxn,lm-n,mn,0.0,1.0,0.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
nxlk-nxntanxn,늙는다는,능는다는,nxN.nxn.ta.nxn,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
nxlk-nxnta,늙는다,능는다,nxN.nxn.ta,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
nxlk-nxntani,늙는다니,능는다니,nxN.nxn.ta.ni,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
kxlk-nxntakvna,긁는다거나,긍는다거나,kxN.nxn.ta.kv.na,lk-n,Nn,0.0,1.0,1.0,0.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
palp-nxn,밟는,발른,pal.lxn,lp-n,ll,1.0,0.0,0.0,1.0,0.0,lC+Sonorant,,,,,,,,,,,,,,,,,,,,,
Jalp-a,짧아,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
Jalp-acici,짧아지지,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
Jalp-aciko,짧아지고,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,5.0,,,,,,,,,,,,,,,,,,,
Jalp-aciniga,짧아지니까,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
Jalp-acinxn,짧아지는,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
Jalp-acinxnteyo,짧아지는데요,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-acin,짧아진,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
Jalp-acintanxn,짧아진다는,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-acintatxnci,짧아진다든지,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-acyv,짧아져,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-acyvkaciko,짧아져가지고,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
Jalp-acyvsv,짧아져서,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
Jalp-acyvSkunalanxn,짧아졌구나라는,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-acyvSnxnte,짧아졌는데,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-acyvSta,짧아졌다,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-acyvStako,짧아졌다고,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-acyvStanxn,짧아졌다는,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
Jalp-acyvSxmyvn,짧아졌으면,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-akaciko,짧아가지고,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
Jalp-asv,짧아서,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,20.0,,,,,,,,,,,,,,,,,,,
Jalp-ato,짧아도,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
Jalp-ayo,짧아요,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,5.0,,,,,,,,,,,,,,,,,,,
Jalp-aSki,짧았기,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
Jalp-aSkvtxnyo,짧았거든요,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
Jalp-aSnxnte,짧았는데,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-aStanxn,짧았다는,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-aStvn,짧았던,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,4.0,,,,,,,,,,,,,,,,,,,
Jalp-aSvyo,짧았어요,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
Jalp-x,짧으,,,lp-x,lpx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Jalp-xmyvn,짧으면,,,lp-x,lpx,0.0,0.0,,,0.0,lC+Vowel,,8.0,,,,,,,,,,,,,,,,,,,
Jalp-xniga,짧으니까,,,lp-x,lpx,0.0,0.0,,,0.0,lC+Vowel,,5.0,,,,,,,,,,,,,,,,,,,
Jalp-xl,짧을,,,lp-x,lpx,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
Jalp-xn,짧은,,,lp-x,lpx,0.0,0.0,,,0.0,lC+Vowel,,151.0,,,,,,,,,,,,,,,,,,,
Jalp-xnte,짧은데,,,lp-x,lpx,0.0,0.0,,,0.0,lC+Vowel,,6.0,,,,,,,,,,,,,,,,,,,
Jalp-xnteto,짧은데도,,,lp-x,lpx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
Poknvlp-xn,폭넓은,,,lp-x,lpx,0.0,0.0,,,0.0,lC+Vowel,,4.0,,,,,,,,,,,,,,,,,,,
cilm-vcikeSta,짊어지겠다,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cilm-vciko,짊어지고,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,11.0,,,,,,,,,,,,,,,,,,,
cilm-vcilyvko,짊어지려고,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cilm-vcinxn,짊어지는,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cilm-vcil,짊어질,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cilm-vcilga,짊어질까,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cilm-vcyvto,짊어져도,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cilm-vcyvya,짊어져야,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cispalp-apvlin,짓밟아버린,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cispalp-aStvn,짓밟았던,,,lp-a,lpa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-v,젊어,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,6.0,,,,,,,,,,,,,,,,,,,
cvlm-vciko,젊어지고,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-vciniga,젊어지니까,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-vcinxn,젊어지는,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-vcin,젊어진,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-vkaciko,젊어가지고,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-vsv,젊어서,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,20.0,,,,,,,,,,,,,,,,,,,
cvlm-vsvnxn,젊어서는,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,5.0,,,,,,,,,,,,,,,,,,,
cvlm-vsvpuTv,젊어서부터,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-vsvto,젊어서도,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-vyo,젊어요,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-vS,젊었,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-vScanhayo,젊었잖아요,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-vSkeScyo,젊었겠죠,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-vSvStvn,젊었었던,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-vSxmyvn,젊었으면,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-vSxmyvnxn,젊었으면은,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-vSxniga,젊었으니까,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-vSxl,젊었을,,,lm-v,lmv,0.0,0.0,,,0.0,lC+Vowel,,184.0,,,,,,,,,,,,,,,,,,,
cvlm-x,젊으,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xna,젊으나,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
cvlm-xniga,젊으니까,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,12.0,,,,,,,,,,,,,,,,,,,
cvlm-xnigan,젊으니깐,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-xsicanhayo,젊으시잖아요,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
cvlm-xsikinxn,젊으시기는,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xsiniga,젊으시니까,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xsita,젊으시다,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xsil,젊으실,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
cvlm-xsin,젊으신,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,12.0,,,,,,,,,,,,,,,,,,,
cvlm-xsinte,젊으신데,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-xsyvkaciko,젊으셔가지고,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-xsyvkacko,젊으셔갖고,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xsyvsv,젊으셔서,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xsyvSkvtxnyo,젊으셨거든요,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xsyvSxl,젊으셨을,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xl,젊을,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,43.0,,,,,,,,,,,,,,,,,,,
cvlm-xm,젊음,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xmxl,젊음을,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,4.0,,,,,,,,,,,,,,,,,,,
cvlm-xn,젊은,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,520.0,,,,,,,,,,,,,,,,,,,
cvlm-xnCxNina,젊은층이나,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnCxNxlo,젊은층으로,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnCxNxy,젊은층의,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xni,젊은이,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
cvlm-xnika,젊은이가,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnilamyvn,젊은이라면,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnilanxn,젊은이라는,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xniman,젊은이만,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xniniga,젊은이니까,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-xnita,젊은이다,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxl,젊은이들,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,5.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxle,젊은이들에,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxleke,젊은이들에게,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxleketo,젊은이들에게도,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxlhanTe,젊은이들한테,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,5.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxlhanTeto,젊은이들한테도,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxli,젊은이들이,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,24.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxlina,젊은이들이나,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxlivSxmyvn,젊은이들이었으면,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxltapci,젊은이들답지,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxlto,젊은이들도,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxlxl,젊은이들을,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxlxn,젊은이들은,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,10.0,,,,,,,,,,,,,,,,,,,
cvlm-xnitxlxy,젊은이들의,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,5.0,,,,,,,,,,,,,,,,,,,
cvlm-xnixy,젊은이의,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
cvlm-xnte,젊은데,,,lm-x,lmx,0.0,0.0,,,0.0,lC+Vowel,,6.0,,,,,,,,,,,,,,,,,,,
halT-acuko,핥아주고,,,lT-a,lTa,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
halT-acukvna,핥아주거나,,,lT-a,lTa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
halT-acutvlako,핥아주더라고,,,lT-a,lTa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
halT-acuntatxnka,핥아준다든가,,,lT-a,lTa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
halT-akamyvnsv,핥아가면서,,,lT-a,lTa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
halT-asv,핥아서,,,lT-a,lTa,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
halT-ayo,핥아요,,,lT-a,lTa,0.0,0.0,,,0.0,lC+Vowel,,3.0,,,,,,,,,,,,,,,,,,,
halT-aSxl,핥았을,,,lT-a,lTa,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
halT-xmyvn,핥으면,,,lT-x,lTx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
hemalk-xm,해맑음,,,lk-x,lkx,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
hulT-v,훑어,,,lT-v,lTv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
hulT-vpoko,훑어보고,,,lT-v,lTv,0.0,0.0,,,0.0,lC+Vowel,,5.0,,,,,,,,,,,,,,,,,,,
hulT-vpomyvn,훑어보면,,,lT-v,lTv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
hulT-vpomyvnsv,훑어보면서,,,lT-v,lTv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
hulT-vposin,훑어보신,,,lT-v,lTv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
hulT-vpotaka,훑어보다가,,,lT-v,lTv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
hulT-vpotvni,훑어보더니,,,lT-v,lTv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
hulT-vpwaya,훑어봐야,,,lT-v,lTv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-v,읽어,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,15.0,,,,,,,,,,,,,,,,,,,
ilk-vcin,읽어진,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vcuca,읽어주자,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vcuke,읽어주게,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vcukin,읽어주긴,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vcuko,읽어주고,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,2.0,,,,,,,,,,,,,,,,,,,
ilk-vcukvna,읽어주거나,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vcumyvn,읽어주면,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vcumyvnsv,읽어주면서,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,4.0,,,,,,,,,,,,,,,,,,,
ilk-vcunxn,읽어주는,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,7.0,,,,,,,,,,,,,,,,,,,
ilk-vcunxnte,읽어주는데,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vcusikito,읽어주시기도,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vcusikvtxn,읽어주시거든,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vcun,읽어준,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vcwvSkvtxn,읽어줬거든,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vcyvsv,읽어져서,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
ilk-vkanxn,읽어가는,,,lk-v,lkv,0.0,0.0,,,0.0,lC+Vowel,,1.0,,,,,,,,,,,,,,,,,,,
