Unnamed: 0,Morphology_R,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,lexome1,lexome2,form,participant,frequency,origin,predicted,pred_correct,simplify_delete_obstruent.1,simplify_delete_lateral.1,nasalize.1,lateralize.1,tensify.1,neural_prediction,neural_correct_wrong
714,kvP-na,kvmna,P-n,kvmna,,,1.0,,,kvP,na,kvmna,563118,nonce,train,kvmna,yes,,,1.0,,,kvpna,no
715,kvP-v,kvPv,P-v,kvPv,,,,,0.0,kvP,v,kvPv,563118,nonce,train,kvPv,yes,,,,,0.0,kvpdv,no
716,kjvlp-na,kyvpna,lp-n,kyvpna,0.0,1.0,0.0,0.0,,kjvlp,na,kyvpna,563118,nonce,train,kyvlmna,no,1.0,0.0,1.0,0.0,,kvlpna,no
717,kjvlp-ta,kyvpda,lp-t,kyvpda,0.0,1.0,,,1.0,kjvlp,ta,kyvpda,563118,nonce,train,kyvlpda,no,1.0,0.0,,0.0,1.0,kilvpda,no
718,kjvlp-v,kyvlpv,lp-v,kyvlpv,0.0,0.0,,,0.0,kjvlp,v,kyvlpv,563118,nonce,train,kyvlpv,yes,1.0,0.0,,0.0,0.0,kilvpv,no
719,kulk-na,kuNna,lk-n,kuNna,0.0,1.0,1.0,0.0,,kulk,na,kuNna,563118,high,train,kuNna,yes,1.0,1.0,1.0,0.0,,kulna,no
720,kulk-v,kulkv,lk-v,kulkv,0.0,0.0,,,0.0,kulk,v,kulkv,563118,high,train,kulkv,yes,0.0,0.0,,0.0,0.0,kulkv,yes
721,kulk-ta,kulda,lk-t,kulda,1.0,0.0,,,1.0,kulk,ta,kulda,563118,high,train,kulda,yes,1.0,0.0,,0.0,1.0,kulda,yes
722,kxlk-ta,kxlkda,lk-t,kxlkda,0.0,0.0,,,1.0,kxlk,ta,kxlkda,563118,low,train,kxlkda,yes,0.0,0.0,,0.0,1.0,kxlda,no
723,kxlk-v,kxlkv,lk-v,kxlkv,0.0,0.0,,,0.0,kxlk,v,kxlkv,563118,low,train,kxlkv,yes,0.0,0.0,,0.0,0.0,kxlkv,yes
724,kxlk-na,kxNna,lk-n,kxNna,0.0,1.0,1.0,0.0,,kxlk,na,kxNna,563118,low,train,kxNna,yes,1.0,1.0,1.0,0.0,,kxNna,yes
725,kxlP-v,kxlPv,lP-v,kxlPv,0.0,0.0,,,0.0,kxlP,v,kxlPv,563118,nonce,train,kxlPv,yes,0.0,0.0,,0.0,0.0,kxlpv,no
726,kxlP-na,kxlmna,lP-n,kxlmna,0.0,0.0,1.0,0.0,,kxlP,na,kxlmna,563118,nonce,train,kxlmna,yes,1.0,0.0,1.0,0.0,,kxlpna,no
727,kxlP-ta,kxlPta,lP-t,kxlPta,0.0,0.0,,,0.0,kxlP,ta,kxlPta,563118,nonce,train,kxlPda,no,0.0,0.0,,0.0,1.0,kxlda,no
728,nalk-na,nalkna,lk-n,nalkna,0.0,0.0,0.0,0.0,,nalk,na,nalkna,563118,high,train,naNna,no,1.0,1.0,1.0,0.0,,nalnka,no
729,nalk-a,nalka,lk-a,nalka,0.0,0.0,,,0.0,nalk,a,nalka,563118,high,train,nalka,yes,0.0,0.0,,0.0,0.0,nalga,no
730,nalk-ta,nalda,lk-t,nalda,1.0,0.0,,,1.0,nalk,ta,nalda,563118,high,train,nalkda,no,0.0,0.0,,0.0,1.0,nalda,yes
731,nalp-na,nalmna,lp-n,nalmna,0.0,0.0,1.0,0.0,,nalp,na,nalmna,563118,nonce,train,nalmna,yes,1.0,0.0,1.0,0.0,,nalpna,no
732,nalp-a,nalpa,lp-a,nalpa,0.0,0.0,,,0.0,nalp,a,nalpa,563118,nonce,train,nalpa,yes,0.0,0.0,,0.0,0.0,nalpa,yes
733,nalp-ta,nalpda,lp-t,nalpda,0.0,0.0,,,1.0,nalp,ta,nalpda,563118,nonce,train,nalpda,yes,0.0,0.0,,0.0,1.0,nalda,no
734,neT-na,nenna,T-n,nenna,,,1.0,,,neT,na,nenna,563118,nonce,train,nenna,yes,,,1.0,,,netda,no
735,neT-v,neTv,T-v,neTv,,,,,0.0,neT,v,neTv,563118,nonce,train,neTv,yes,,,,,0.0,netgv,no
736,neT-ta,netda,T-t,netda,,,,,1.0,neT,ta,netda,563118,nonce,train,netda,yes,,,,,1.0,netda,yes
737,nvlp-na,nvlpna,lp-n,nvlpna,0.0,0.0,0.0,0.0,,nvlp,na,nvlpna,563118,high,train,,no,1.0,1.0,0.0,0.0,,nvlpna,yes
738,nvlp-v,nvlpv,lp-v,nvlpv,0.0,0.0,,,0.0,nvlp,v,nvlpv,563118,high,train,nvlpv,yes,0.0,0.0,,0.0,0.0,nvlpv,yes
739,nvlp-ta,nvlpda,lp-t,nvlpda,0.0,0.0,,,1.0,nvlp,ta,nvlpda,563118,high,train,nvlda,no,1.0,0.0,,0.0,1.0,nvlda,no
740,nuk-na,nuNna,k-n,nuNna,,,1.0,,,nuk,na,nuNna,563118,nonce,train,nuNna,yes,,,1.0,,,nukna,no
741,nuk-v,nukv,k-v,nukv,,,,,0.0,nuk,v,nukv,563118,nonce,train,nukv,yes,,,,,0.0,nukv,yes
742,nuk-ta,nukda,k-t,nukda,,,,,1.0,nuk,ta,nukda,563118,nonce,train,nukda,yes,,,,,1.0,nukda,yes
743,nxlk-na,nxNna,lk-n,nxNna,0.0,1.0,1.0,0.0,,nxlk,na,nxNna,563118,high,train,nxNna,yes,1.0,1.0,1.0,0.0,,nxNna,yes
744,nxlk-v,nxlkv,lk-v,nxlkv,0.0,0.0,,,0.0,nxlk,v,nxlkv,563118,high,train,nxlkv,yes,0.0,0.0,,0.0,0.0,nxlkv,yes
745,nxlk-ta,nxlda,lk-t,nxlda,1.0,0.0,,,1.0,nxlk,ta,nxlda,563118,high,train,,no,1.0,1.0,,0.0,0.0,nxlda,yes
746,tvlp-na,tvlpna,lp-n,tvlpna,0.0,0.0,0.0,0.0,,tvlp,na,tvlpna,563118,nonce,train,tvlmna,no,1.0,0.0,1.0,0.0,,tvlpna,yes
747,tvlp-ta,tvlpda,lp-t,tvlpda,0.0,0.0,,,1.0,tvlp,ta,tvlpda,563118,nonce,train,tvlpda,yes,0.0,0.0,,0.0,1.0,tvlda,no
748,tvlp-v,tvlpv,lp-v,tvlpv,0.0,0.0,,,0.0,tvlp,v,tvlpv,563118,nonce,train,tvlpv,yes,0.0,0.0,,0.0,0.0,tvlpv,yes
749,tok-na,toNna,k-n,toNna,,,1.0,,,tok,na,toNna,563118,nonce,train,toNna,yes,,,1.0,,,toNna,yes
750,tok-ta,tokda,k-t,tokda,,,,,1.0,tok,ta,tokda,563118,nonce,train,tokda,yes,,,,,1.0,tokda,yes
751,tok-a,toka,k-a,toka,,,,,0.0,tok,a,toka,563118,nonce,train,toka,yes,,,,,0.0,tokga,no
752,tup-na,tumna,p-n,tumna,,,1.0,,,tup,na,tumna,563118,nonce,train,tumna,yes,,,1.0,,,tupna,no
753,tup-v,tupv,p-v,tupv,,,,,0.0,tup,v,tupv,563118,nonce,train,tupv,yes,,,,,0.0,tupv,yes
754,tup-ta,tupda,p-t,tupda,,,,,1.0,tup,ta,tupda,563118,nonce,train,tupda,yes,,,,,1.0,tupda,yes
755,txlk-ta,txlkda,lk-t,txlkda,0.0,0.0,,,1.0,txlk,ta,txlkda,563118,nonce,train,txkda,no,1.0,1.0,,0.0,1.0,txlkda,yes
756,txlk-na,txNna,lk-n,txNna,0.0,1.0,1.0,0.0,,txlk,na,txNna,563118,nonce,train,txNna,yes,1.0,1.0,1.0,0.0,,txNna,yes
757,txlk-v,txlkv,lk-v,txlkv,0.0,0.0,,,0.0,txlk,v,txlkv,563118,nonce,train,txlkv,yes,0.0,0.0,,0.0,0.0,txlkv,yes
758,dvlp-v,dvlpv,lp-v,dvlpv,0.0,0.0,,,0.0,dvlp,v,dvlpv,563118,low,train,dvlpv,yes,0.0,0.0,,0.0,1.0,dvlpv,yes
759,dvlp-ta,dvlpda,lp-t,dvlpda,0.0,0.0,,,1.0,dvlp,ta,dvlpda,563118,low,train,dvlpda,yes,0.0,0.0,,0.0,1.0,dvlda,no
760,dvlp-na,dvlmna,lp-n,dvlmna,0.0,0.0,1.0,0.0,,dvlp,na,dvlmna,563118,low,train,dvlpna,no,0.0,0.0,0.0,0.0,,dvlpna,no
761,mak-a,maka,k-a,maka,,,,,0.0,mak,a,maka,563118,high,train,maka,yes,,,,,0.0,maka,yes
762,mak-na,maNna,k-n,maNna,,,1.0,,,mak,na,maNna,563118,high,train,maNna,yes,,,1.0,,,maNna,yes
763,mak-ta,makda,k-t,makda,,,,,1.0,mak,ta,makda,563118,high,train,makda,yes,,,,,1.0,makda,yes
764,malk-ta,malda,lk-t,malda,1.0,0.0,,,1.0,malk,ta,malda,563118,high,train,malkda,no,0.0,0.0,,0.0,1.0,malkda,no
765,malk-a,malka,lk-a,malka,0.0,0.0,,,0.0,malk,a,malka,563118,high,train,malka,yes,0.0,0.0,,0.0,0.0,malga,no
766,malk-na,maNna,lk-n,maNna,0.0,1.0,1.0,0.0,,malk,na,maNna,563118,high,train,malna,no,1.0,0.0,0.0,0.0,,malnka,no
767,mvlk-na,mvlkna,lk-n,mvlkna,0.0,0.0,0.0,0.0,,mvlk,na,mvlkna,563118,nonce,train,mvNna,no,1.0,1.0,1.0,0.0,,mvkna,no
768,mvlk-v,mvlkv,lk-v,mvlkv,0.0,0.0,,,0.0,mvlk,v,mvlkv,563118,nonce,train,mvlkv,yes,0.0,0.0,,0.0,0.0,mvlkv,yes
769,mvlk-ta,mvlkda,lk-t,mvlkda,0.0,0.0,,,1.0,mvlk,ta,mvlkda,563118,nonce,train,mvlda,no,1.0,0.0,,0.0,1.0,mvlkda,yes
770,muk-ta,mukda,k-t,mukda,,,,,1.0,muk,ta,mukda,563118,low,train,mukda,yes,,,,,1.0,mukda,yes
771,muk-na,muNna,k-n,muNna,,,1.0,,,muk,na,muNna,563118,low,train,muNna,yes,,,1.0,,,mukna,no
772,muk-v,mukv,k-v,mukv,,,,,0.0,muk,v,mukv,563118,low,train,mukv,yes,,,,,0.0,mukv,yes
773,mulk-ta,mukda,lk-t,mukda,0.0,1.0,,,1.0,mulk,ta,mukda,563118,low,train,mulda,no,1.0,0.0,,0.0,1.0,mulkda,no
774,mulk-v,mulkv,lk-v,mulkv,0.0,0.0,,,0.0,mulk,v,mulkv,563118,low,train,mulkv,yes,0.0,0.0,,0.0,0.0,mulkv,yes
775,mulk-na,mulkna,lk-n,mulkna,0.0,0.0,0.0,0.0,,mulk,na,mulkna,563118,low,train,muNna,no,1.0,1.0,1.0,0.0,,mukna,no
776,pak-na,paNna,k-n,paNna,,,1.0,,,pak,na,paNna,563118,high,train,paNna,yes,,,1.0,,,panka,no
777,pak-a,paka,k-a,paka,,,,,0.0,pak,a,paka,563118,high,train,paka,yes,,,,,0.0,paka,yes
778,pak-ta,pakda,k-t,pakda,,,,,1.0,pak,ta,pakda,563118,high,train,pakda,yes,,,,,1.0,pakda,yes
779,palk-a,palka,lk-a,palka,0.0,0.0,,,0.0,palk,a,palka,563118,high,train,palka,yes,0.0,0.0,,0.0,0.0,palka,yes
780,palk-na,palkna,lk-n,palkna,0.0,0.0,0.0,0.0,,palk,na,palkna,563118,high,train,paNna,no,1.0,1.0,1.0,0.0,,palkna,yes
781,palk-ta,pakda,lk-t,pakda,0.0,1.0,,,1.0,palk,ta,pakda,563118,high,train,palda,no,1.0,0.0,,0.0,1.0,palda,no
782,palp-a,palpa,lp-a,palpa,0.0,0.0,,,0.0,palp,a,palpa,563118,high,train,palpa,yes,0.0,0.0,,0.0,0.0,palpa,yes
783,palp-ta,palda,lp-t,palda,1.0,0.0,,,1.0,palp,ta,palda,563118,high,train,palpda,no,0.0,0.0,,0.0,1.0,palda,yes
784,palp-na,palna,lp-n,palna,1.0,0.0,0.0,0.0,,palp,na,palna,563118,high,train,palmna,no,1.0,0.0,1.0,0.0,,palpna,no
785,peT-na,penna,T-n,penna,,,1.0,,,peT,na,penna,563118,low,train,penna,yes,,,1.0,,,petna,no
786,peT-ta,petda,T-t,petda,,,,,1.0,peT,ta,petda,563118,low,train,petda,yes,,,,,1.0,petda,yes
787,peT-v,peTv,T-v,peTv,,,,,0.0,peT,v,peTv,563118,low,train,peTv,yes,,,,,0.0,petdv,no
788,kvp-na,pvmna,p-n,pvmna,,,1.0,,,kvp,na,pvmna,563118,nonce,train,pvmna,yes,,,1.0,,,kvpna,no
789,kvp-ta,pvpda,p-t,pvpda,,,,,1.0,kvp,ta,pvpda,563118,nonce,train,pvpda,yes,,,,,1.0,kvpda,no
790,kvp-v,pvpv,p-v,pvpv,,,,,0.0,kvp,v,pvpv,563118,nonce,train,pvpv,yes,,,,,0.0,kvpv,no
791,pulk-ta,pulda,lk-t,pulda,1.0,0.0,,,1.0,pulk,ta,pulda,563118,high,train,pulda,yes,1.0,0.0,,0.0,1.0,pulda,yes
792,pulk-v,pulkv,lk-v,pulkv,0.0,0.0,,,0.0,pulk,v,pulkv,563118,high,train,pulkv,yes,0.0,0.0,,0.0,0.0,pulkv,yes
793,pulk-na,pulkna,lk-n,pulkna,0.0,0.0,0.0,0.0,,pulk,na,pulkna,563118,high,train,pukna,no,1.0,1.0,0.0,0.0,,pulkna,yes
794,pulT-v,pulTv,lT-v,pulTv,0.0,0.0,,,0.0,pulT,v,pulTv,563118,nonce,train,pulTv,yes,0.0,0.0,,0.0,0.0,pulkv,no
795,pulT-na,putna,lT-n,putna,0.0,1.0,0.0,0.0,,pulT,na,putna,563118,nonce,train,pulna,no,1.0,0.0,0.0,0.0,,pulkna,no
796,pulT-ta,pulda,lT-t,pulda,1.0,0.0,,,1.0,pulT,ta,pulda,563118,nonce,train,pulda,yes,1.0,0.0,,0.0,1.0,pulda,yes
797,bop-ta,bopda,p-t,bopda,,,,,1.0,bop,ta,bopda,563118,high,train,bopda,yes,,,,,1.0,popda,no
798,bop-a,bopa,p-a,bopa,,,,,0.0,bop,a,bopa,563118,high,train,bopa,yes,,,,,1.0,popapa,no
799,bop-na,bomna,p-n,bomna,,,1.0,,,bop,na,bomna,563118,high,train,bomna,yes,,,1.0,,,popna,no
800,sok-na,soNna,k-n,soNna,,,1.0,,,sok,na,soNna,563118,low,train,soNna,yes,,,1.0,,,*soNa,no
801,sok-a,soka,k-a,soka,,,,,0.0,sok,a,soka,563118,low,train,soka,yes,,,,,0.0,sokga,no
802,sok-ta,sokda,k-t,sokda,,,,,1.0,sok,ta,sokda,563118,low,train,sokda,yes,,,,,1.0,sokda,yes
803,sulk-v,sulkv,lk-v,sulkv,0.0,0.0,,,0.0,sulk,v,sulkv,563118,nonce,train,sulkv,yes,0.0,0.0,,0.0,0.0,sulkv,yes
804,sulk-na,sukna,lk-n,sukna,0.0,1.0,0.0,0.0,,sulk,na,sukna,563118,nonce,train,suNna,no,1.0,1.0,1.0,0.0,,*sumna,no
805,sulk-ta,sulda,lk-t,sulda,1.0,0.0,,,1.0,sulk,ta,sulda,563118,nonce,train,sulkda,no,0.0,0.0,,0.0,1.0,sulkda,no
806,sik-ta,sikda,k-t,sikda,,,,,1.0,sik,ta,sikda,563118,low,train,sikda,yes,,,,,1.0,sikda,yes
807,sik-na,siNna,k-n,siNna,,,1.0,,,sik,na,siNna,563118,low,train,siNna,yes,,,1.0,,,sikna,no
808,sik-v,sikv,k-v,sikv,,,,,0.0,sik,v,sikv,563118,low,train,sikv,yes,,,,,0.0,sikv,yes
809,Svk-na,SvNna,k-n,SvNna,,,1.0,,,Svk,na,SvNna,563118,high,train,SvNna,yes,,,1.0,,,*svkga,no
810,Svk-ta,Svkda,k-t,Svkda,,,,,1.0,Svk,ta,Svkda,563118,high,train,Svkda,yes,,,,,1.0,svkda,no
811,Svk-v,Svkv,k-v,Svkv,,,,,0.0,Svk,v,Svkv,563118,high,train,Svkv,yes,,,,,0.0,svkgv,no
812,Sip-na,Simna,p-n,Simna,,,1.0,,,Sip,na,Simna,563118,high,train,Simna,yes,,,1.0,,,*sipna,no
813,Sip-ta,Sipda,p-t,Sipda,,,,,1.0,Sip,ta,Sipda,563118,high,train,Sipda,yes,,,,,1.0,sipda,no
814,Sip-v,Sipv,p-v,Sipv,,,,,0.0,Sip,v,Sipv,563118,high,train,Sipv,yes,,,,,0.0,sipv,no
815,alk-a,alka,lk-a,alka,0.0,0.0,,,0.0,alk,a,alka,563118,nonce,train,alka,yes,,0.0,,0.0,0.0,alga,no
816,alk-ta,alkda,lk-t,alkda,0.0,0.0,,,1.0,alk,ta,alkda,563118,nonce,train,alkda,yes,,0.0,,0.0,1.0,alda,no
817,alk-na,alkna,lk-n,alkna,0.0,0.0,0.0,0.0,,alk,na,alkna,563118,nonce,train,alkna,yes,,0.0,0.0,0.0,,alna,no
818,yalp-ta,yalpda,lp-t,yalpda,0.0,0.0,,,1.0,yalp,ta,yalpda,563118,low,train,yalpda,yes,0.0,0.0,,0.0,1.0,yalda,no
819,yalp-na,yalmna,lp-n,yalmna,0.0,0.0,1.0,0.0,,yalp,na,yalmna,563118,low,train,yalmna,yes,1.0,0.0,1.0,0.0,,yalpna,no
820,yalp-a,yalpa,lp-a,yalpa,0.0,0.0,,,0.0,yalp,a,yalpa,563118,low,train,yalpa,yes,0.0,0.0,,0.0,0.0,yalpa,yes
821,yaT-ta,yatda,T-t,yatda,,,,,1.0,yaT,ta,yatda,563118,low,train,yatda,yes,,,,,1.0,yatda,yes
822,yaT-a,yaTa,T-a,yaTa,,,,,0.0,yaT,a,yaTa,563118,low,train,yaTa,yes,,,,,0.0,yatda,no
823,yaT-na,yanna,T-n,yanna,,,1.0,,,yaT,na,yanna,563118,low,train,yanna,yes,,,1.0,,,yaNna,no
824,vlk-v,vlkv,lk-v,vlkv,0.0,0.0,,,0.0,vlk,v,vlkv,563118,low,train,vlkv,yes,,0.0,,0.0,0.0,vlkv,yes
825,vlk-ta,vlkda,lk-t,vlkda,0.0,0.0,,,1.0,vlk,ta,vlkda,563118,low,train,vlkda,yes,,0.0,,0.0,1.0,vlda,no
826,vlk-na,vNna,lk-n,vNna,0.0,1.0,1.0,0.0,,vlk,na,vNna,563118,low,train,vNna,yes,,1.0,1.0,0.0,,vlkna,no
827,vp-na,vmna,p-n,vmna,,,1.0,,,vp,na,vmna,563118,low,train,vmna,yes,,,1.0,,,vpan,no
828,vp-v,vpv,p-v,vpv,,,,,0.0,vp,v,vpv,563118,low,train,vpv,yes,,,,,0.0,vpv,yes
829,vp-ta,vpda,p-t,vpda,,,,,1.0,vp,ta,vpda,563118,low,train,vpda,yes,,,,,1.0,vpda,yes
830,vP-ta,vpda,P-t,vpda,,,,,1.0,vP,ta,vpda,563118,low,train,vpda,yes,,,,,1.0,vpda,yes
831,vP-na,vmna,P-n,vmna,,,1.0,,,vP,na,vmna,563118,low,train,vmna,yes,,,1.0,,,vpna,no
832,vP-v,vPv,P-v,vPv,,,,,0.0,vP,v,vPv,563118,low,train,vPv,yes,,,,,0.0,vpv,no
833,yvlp-ta,jvlpta,lp-t,jvlpta,0.0,0.0,,,0.0,yvlp,ta,jvlpta,563118,low,train,jvlpda,no,1.0,0.0,,0.0,1.0,yvlda,no
834,yvlp-na,jvlmna,lp-n,jvlmna,0.0,0.0,1.0,0.0,,yvlp,na,jvlmna,563118,low,train,jvlpna,no,1.0,0.0,0.0,0.0,,yvlpna,no
835,yvlp-v,jvlpv,lp-v,jvlpv,0.0,0.0,,,0.0,yvlp,v,jvlpv,563118,low,train,jvlpv,yes,1.0,0.0,,0.0,0.0,yvlpv,no
836,yvT-v,jvTv,T-v,jvTv,,,,,0.0,yvT,v,jvTv,563118,low,train,jvTv,yes,,,,,0.0,yvtdv,no
837,yvT-ta,jvtda,T-t,jvtda,,,,,1.0,yvT,ta,jvtda,563118,low,train,jvtda,yes,,,,,1.0,yvtda,no
838,yvT-na,jvnna,T-n,jvnna,,,1.0,,,yvT,na,jvnna,563118,low,train,jvnna,yes,,,1.0,,,yvtda,no
839,up-na,umna,p-n,umna,,,1.0,,,up,na,umna,563118,nonce,train,umna,yes,,,1.0,,,upna,no
840,up-v,upv,p-v,upv,,,,,0.0,up,v,upv,563118,nonce,train,upv,yes,,,,,0.0,upv,yes
841,up-ta,upda,p-t,upda,,,,,1.0,up,ta,upda,563118,nonce,train,upda,yes,,,,,1.0,upda,yes
842,xlP-v,xlPv,lP-v,xlPv,0.0,0.0,,,0.0,xlP,v,xlPv,563118,low,train,xlPv,yes,,0.0,,0.0,0.0,xlpv,no
843,xlP-na,xlmna,lP-n,xlmna,0.0,0.0,1.0,0.0,,xlP,na,xlmna,563118,low,train,xPna,no,,1.0,0.0,0.0,,xNna,no
844,xlP-ta,xlPda,lP-t,xlPda,0.0,0.0,,,1.0,xlP,ta,xlPda,563118,low,train,xlPda,yes,,0.0,,0.0,1.0,xlda,no
845,ik-na,iNna,k-n,iNna,,,1.0,,,ik,na,iNna,563118,low,train,iNna,yes,,,1.0,,,ikna,no
846,ik-ta,ikda,k-t,ikda,,,,,1.0,ik,ta,ikda,563118,low,train,ikda,yes,,,,,1.0,ikda,yes
847,ik-v,ikv,k-v,ikv,,,,,0.0,ik,v,ikv,563118,low,train,ikv,yes,,,,,0.0,ikv,yes
848,ilk-na,iNna,lk-n,iNna,0.0,1.0,1.0,0.0,,ilk,na,iNna,563118,high,train,iNna,yes,,1.0,1.0,0.0,,ilna,no
849,ilk-ta,ilda,lk-t,ilda,1.0,0.0,,,1.0,ilk,ta,ilda,563118,high,train,ikda,no,,1.0,,0.0,1.0,ilda,yes
850,ilk-v,ilkv,lk-v,ilkv,0.0,0.0,,,0.0,ilk,v,ilkv,563118,high,train,ilkv,yes,,0.0,,0.0,0.0,ilkv,yes
851,ip-na,imna,p-n,imna,,,1.0,,,ip,na,imna,563118,high,train,imna,yes,,,1.0,,,ipna,no
852,ip-v,ipv,p-v,ipv,,,,,0.0,ip,v,ipv,563118,high,train,ipv,yes,,,,,0.0,ipv,yes
853,ip-ta,ipda,p-t,ipda,,,,,1.0,ip,ta,ipda,563118,high,train,ipda,yes,,,,,1.0,ipda,yes
854,cak-ta,cakda,k-t,cakda,,,,,1.0,cak,ta,cakda,563118,high,train,cakda,yes,,,,,1.0,cakda,yes
855,cak-a,caka,k-a,caka,,,,,0.0,cak,a,caka,563118,high,train,caka,yes,,,,,0.0,cakga,no
856,cak-na,caNna,k-n,caNna,,,1.0,,,cak,na,caNna,563118,high,train,caNna,yes,,,1.0,,,cakna,no
857,cvk-ta,cvkda,k-t,cvkda,,,,,1.0,cvk,ta,cvkda,563118,high,train,cvkda,yes,,,,,1.0,cvkda,yes
858,cvk-v,cvkv,k-v,cvkv,,,,,0.0,cvk,v,cvkv,563118,high,train,cvkv,yes,,,,,0.0,cvkv,yes
859,cvk-na,cvNna,k-n,cvNna,,,1.0,,,cvk,na,cvNna,563118,high,train,cvNna,yes,,,1.0,,,cvkna,no
860,cvp-ta,cvpda,p-t,cvpda,,,,,1.0,cvp,ta,cvpda,563118,high,train,cvpda,yes,,,,,1.0,cvpda,yes
861,cvp-v,cvpv,p-v,cvpv,,,,,0.0,cvp,v,cvpv,563118,high,train,cvpv,yes,,,,,0.0,cvpv,yes
862,cvp-na,cvmna,p-n,cvmna,,,1.0,,,cvp,na,cvmna,563118,high,train,cvmna,yes,,,1.0,,,cvpna,no
863,cik-ta,cikda,k-t,cikda,,,,,1.0,cik,ta,cikda,563118,nonce,train,cikda,yes,,,,,1.0,cikda,yes
864,cik-v,cikv,k-v,cikv,,,,,0.0,cik,v,cikv,563118,nonce,train,cikv,yes,,,,,0.0,cikv,yes
865,cik-na,ciNna,k-n,ciNna,,,1.0,,,cik,na,ciNna,563118,nonce,train,ciNna,yes,,,1.0,,,cikna,no
866,cilk-na,cilkna,lk-n,cilkna,0.0,0.0,0.0,0.0,,cilk,na,cilkna,563118,nonce,train,ciNna,no,1.0,1.0,1.0,0.0,,cilkna,yes
867,cilk-v,cilkv,lk-v,cilkv,0.0,0.0,,,0.0,cilk,v,cilkv,563118,nonce,train,cilkv,yes,0.0,0.0,,0.0,0.0,cilkv,yes
868,cilk-ta,cilkda,lk-t,cilkda,0.0,0.0,,,1.0,cilk,ta,cilkda,563118,nonce,train,cilda,no,1.0,0.0,,0.0,1.0,cilda,no
869,cip-na,cimna,p-n,cimna,,,1.0,,,cip,na,cimna,563118,high,train,cimna,yes,,,1.0,,,cipna,no
870,cip-v,cipv,p-v,cipv,,,,,0.0,cip,v,cipv,563118,high,train,cipv,yes,,,,,0.0,cipv,yes
871,cip-ta,cipda,p-t,cipda,,,,,1.0,cip,ta,cipda,563118,high,train,cipda,yes,,,,,1.0,cipda,yes
872,Jalp-a,Jalpa,lp-a,Jalpa,0.0,0.0,,,0.0,Jalp,a,Jalpa,563118,high,train,Jalpa,yes,0.0,0.0,,0.0,0.0,Jalpa,yes
873,Jalp-ta,Jalda,lp-t,Jalda,1.0,0.0,,,1.0,Jalp,ta,Jalda,563118,high,train,Jalpda,no,0.0,0.0,,0.0,1.0,Jalda,yes
874,Jalp-na,Jalmna,lp-n,Jalmna,0.0,0.0,1.0,0.0,,Jalp,na,Jalmna,563118,high,train,Jalmna,yes,1.0,0.0,1.0,0.0,,Jalpna,no
875,Jik-ta,Jikda,k-t,Jikda,,,,,1.0,Jik,ta,Jikda,563118,low,train,Jikda,yes,,,,,1.0,Jikda,yes
876,Jik-v,Jikv,k-v,Jikv,,,,,0.0,Jik,v,Jikv,563118,low,train,Jikv,yes,,,,,0.0,Jikv,yes
877,Jik-na,JiNna,k-n,JiNna,,,1.0,,,Jik,na,JiNna,563118,low,train,JiNna,yes,,,1.0,,,Jikna,no
878,Cak-na,CaNna,k-n,CaNna,,,1.0,,,Cak,na,CaNna,563118,nonce,train,CaNna,yes,,,1.0,,,Cakna,no
879,Cak-a,Caka,k-a,Caka,,,,,0.0,Cak,a,Caka,563118,nonce,train,Caka,yes,,,,,0.0,Caka,yes
880,Cak-ta,Cakda,k-t,Cakda,,,,,1.0,Cak,ta,Cakda,563118,nonce,train,Cakda,yes,,,,,1.0,Cakda,yes
881,Top-na,Tomna,p-n,Tomna,,,1.0,,,Top,na,Tomna,563118,nonce,train,Tomna,yes,,,1.0,,,topna,no
882,Top-ta,Topda,p-t,Topda,,,,,1.0,Top,ta,Topda,563118,nonce,train,Topda,yes,,,,,1.0,topda,no
883,Top-a,Topa,p-a,Topa,,,,,0.0,Top,a,Topa,563118,nonce,train,Topa,yes,,,,,0.0,topa,no
884,halT-na,halna,lT-n,halna,1.0,0.0,0.0,0.0,,halT,na,halna,563118,low,train,halna,yes,1.0,0.0,0.0,0.0,,halpna,no
885,halT-ta,halda,lT-t,halda,1.0,0.0,,,1.0,halT,ta,halda,563118,low,train,halda,yes,1.0,0.0,,0.0,1.0,halda,yes
886,halT-a,halTa,lT-a,halTa,0.0,0.0,,,0.0,halT,a,halTa,563118,low,train,halTa,yes,0.0,0.0,,0.0,0.0,halga,no
887,hulT-ta,hulda,lT-t,hulda,1.0,0.0,,,1.0,hulT,ta,hulda,563118,low,train,hulda,yes,1.0,0.0,,0.0,1.0,hulda,yes
888,hulT-na,hulna,lT-n,hulna,1.0,0.0,0.0,0.0,,hulT,na,hulna,563118,low,train,hulna,yes,1.0,0.0,0.0,0.0,,hulpna,no
889,hulT-v,hulTv,lT-v,hulTv,0.0,0.0,,,0.0,hulT,v,hulTv,563118,low,train,hulTv,yes,0.0,0.0,,0.0,0.0,hulkv,no
890,kalk-na,kaNna,lk-n,kaNna,0.0,1.0,1.0,0.0,,kalk,na,kaNna,565631,low,train,kalkna,no,0.0,0.0,0.0,0.0,,kalna,no
