...1,Trial_Nr,Trial_Id,Exp_Subject_Id,OptionChosen,TargetWord,knowledge,StemType,Frequency,AffixInitialSegment,Stem_romanization,Affix_romanization,Word_romanization,Tensification,Nasalization,L_deletion,C_deletion,Lateralization,UR,JunctureType,Production_R,predicted
668,82,31,559838,option_1,읽어,5,lC,high,Vowel,ilk,v,ilkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,ilkv,ilkv
669,108,28,559838,option_1,읽나,5,lC,high,Sonorant,ilk,na,ilkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,iNna,ilna
670,137,101,559838,option_4,읽다,5,lC,high,Obstruent,ilk,ta,ilkta,1.0,,1.0,0.0,,lk-t,lC+Obstruent,ikda,ilda
671,15,89,559838,option_1,입어,5,C,high,Vowel,ip,v,ipv,0.0,,,,,p-v,C+Vowel,ipv,ipv
672,154,120,559838,option_1,입나,5,C,high,Sonorant,ip,na,ipna,,1.0,,,,p-n,C+Sonorant,imna,ipna
673,18,111,559838,option_2,입다,5,C,high,Obstruent,ip,ta,ipta,1.0,,,,,p-t,C+Obstruent,ipda,ipda
674,104,61,559838,option_2,작다,5,C,high,Obstruent,cak,ta,cakta,1.0,,,,,k-t,C+Obstruent,cakda,cakda
675,63,110,559838,option_1,작나,5,C,high,Sonorant,cak,na,cakna,,1.0,,,,k-n,C+Sonorant,caNna,cakna
676,101,81,559838,option_1,작아,5,C,high,Vowel,cak,a,caka,0.0,,,,,k-a,C+Vowel,caka,cakga
677,90,119,559838,option_1,적나,5,C,high,Sonorant,cvk,na,cvkna,,1.0,,,,k-n,C+Sonorant,cvNna,cvkna
678,178,93,559838,option_1,적다,5,C,high,Obstruent,cvk,ta,cvkta,0.0,,,,,k-t,C+Obstruent,cvkta,cvkda
679,57,90,559838,option_1,적어,5,C,high,Vowel,cvk,v,cvkv,0.0,,,,,k-v,C+Vowel,cvkv,cvkv
680,161,65,559838,option_1,접어,5,C,high,Vowel,cvp,v,cvpv,0.0,,,,,p-v,C+Vowel,cvpv,cvpv
681,5,15,559838,option_1,접다,5,C,high,Obstruent,cvp,ta,cvpta,0.0,,,,,p-t,C+Obstruent,cvpta,cvpda
682,120,21,559838,option_1,접나,5,C,high,Sonorant,cvp,na,cvpna,,1.0,,,,p-n,C+Sonorant,cvmna,cvpna
683,23,172,559838,option_1,직나,5,C,nonce,Sonorant,cik,na,cikna,,1.0,,,,k-n,C+Sonorant,ciNna,cikna
684,46,123,559838,option_2,직다,5,C,nonce,Obstruent,cik,ta,cikta,1.0,,,,,k-t,C+Obstruent,cikda,cikda
685,149,127,559838,option_1,직어,5,C,nonce,Vowel,cik,v,cikv,0.0,,,,,k-v,C+Vowel,cikv,cikv
686,127,128,559838,option_1,짉다,1,lC,nonce,Obstruent,cilk,ta,cilkta,0.0,,0.0,0.0,,lk-t,lC+Obstruent,cilkta,cilda
687,33,17,559838,option_1,짉나,1,lC,nonce,Sonorant,cilk,na,cilkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,ciNna,cilkna
688,56,60,559838,option_1,짉어,1,lC,nonce,Vowel,cilk,v,cilkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,cilkv,cilkv
689,167,47,559838,option_1,집어,5,C,high,Vowel,cip,v,cipv,0.0,,,,,p-v,C+Vowel,cipv,cipv
690,166,46,559838,option_1,집나,5,C,high,Sonorant,cip,na,cipna,,1.0,,,,p-n,C+Sonorant,cimna,cipna
691,10,94,559838,option_2,집다,5,C,high,Obstruent,cip,ta,cipta,1.0,,,,,p-t,C+Obstruent,cipda,cipda
692,176,113,559838,option_3,짧다,5,lC,high,Obstruent,Jalp,ta,Jalpta,1.0,,0.0,1.0,,lp-t,lC+Obstruent,Jalda,Jalda
693,136,145,559838,option_1,짧아,5,lC,high,Vowel,Jalp,a,Jalpa,0.0,,0.0,0.0,,lp-a,lC+Vowel,Jalpa,Jalpa
694,94,99,559838,option_1,짧나,5,lC,high,Sonorant,Jalp,na,Jalpna,,1.0,1.0,0.0,0.0,lp-n,lC+Sonorant,Jamna,Jalpna
695,145,57,559838,option_1,찍나,5,C,low,Sonorant,Jik,na,Jikna,,1.0,,,,k-n,C+Sonorant,JiNna,Jikna
696,7,66,559838,option_1,찍어,5,C,low,Vowel,Jik,v,Jikv,0.0,,,,,k-v,C+Vowel,Jikv,Jikv
697,100,104,559838,option_2,찍다,5,C,low,Obstruent,Jik,ta,Jikta,1.0,,,,,k-t,C+Obstruent,Jikda,Jikda
698,43,56,559838,option_1,착나,1,C,nonce,Sonorant,Cak,na,Cakna,,1.0,,,,k-n,C+Sonorant,CaNna,Cakna
699,9,12,559838,option_2,착다,1,C,nonce,Obstruent,Cak,ta,Cakta,1.0,,,,,k-t,C+Obstruent,Cakda,Cakda
700,156,10,559838,option_1,착아,1,C,nonce,Vowel,Cak,a,Caka,0.0,,,,,k-a,C+Vowel,Caka,Caka
701,40,50,559838,option_1,톱아,2,C,nonce,Vowel,Top,a,Topa,0.0,,,,,p-a,C+Vowel,Topa,topa
702,110,152,559838,option_1,톱다,2,C,nonce,Obstruent,Top,ta,Topta,0.0,,,,,p-t,C+Obstruent,Topta,topda
703,177,11,559838,option_1,톱나,2,C,nonce,Sonorant,Top,na,Topna,,1.0,,,,p-n,C+Sonorant,Tomna,topna
704,47,87,559838,option_4,핥나,5,lC,low,Sonorant,halT,na,halTna,,0.0,0.0,1.0,0.0,lT-n,lC+Sonorant,halna,halpna
705,79,96,559838,option_3,핥다,5,lC,low,Obstruent,halT,ta,halTta,1.0,,0.0,1.0,,lT-t,lC+Obstruent,halda,halda
706,148,156,559838,option_1,핥아,5,lC,low,Vowel,halT,a,halTa,0.0,,0.0,0.0,,lT-a,lC+Vowel,halTa,halga
707,25,125,559838,option_4,훑나,5,lC,low,Sonorant,hulT,na,hulTna,,0.0,0.0,1.0,0.0,lT-n,lC+Sonorant,hulna,hulpna
708,24,55,559838,option_3,훑다,5,lC,low,Obstruent,hulT,ta,hulTta,1.0,,0.0,1.0,,lT-t,lC+Obstruent,hulda,hulda
709,114,85,559838,option_1,훑어,5,lC,low,Vowel,hulT,v,hulTv,0.0,,0.0,0.0,,lT-v,lC+Vowel,hulTv,hulkv
710,24,59,563118,option_2,갉나,5,lC,low,Sonorant,kalk,na,kalkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,kalkna,kalna
711,116,40,563118,option_1,갉아,5,lC,low,Vowel,kalk,a,kalka,0.0,,0.0,0.0,,lk-a,lC+Vowel,kalka,kalga
712,76,35,563118,option_3,갉다,5,lC,low,Obstruent,kalk,ta,kalkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,kalda,kalda
713,35,80,563118,option_2,겊다,1,C,nonce,Obstruent,kvP,ta,kvPta,1.0,,,,,P-t,C+Obstruent,kvpda,kvpda
714,42,43,563118,option_1,겊나,1,C,nonce,Sonorant,kvP,na,kvPna,,1.0,,,,P-n,C+Sonorant,kvmna,kvpna
715,39,19,563118,option_1,겊어,1,C,nonce,Vowel,kvP,v,kvPv,0.0,,,,,P-v,C+Vowel,kvPv,kvpdv
716,162,143,563118,option_3,겳나,1,lC,nonce,Sonorant,kjvlp,na,kjvlpna,,0.0,1.0,0.0,0.0,lp-n,lC+Sonorant,kyvpna,kvlpna
717,25,115,563118,option_4,겳다,1,lC,nonce,Obstruent,kjvlp,ta,kjvlpta,1.0,,1.0,0.0,,lp-t,lC+Obstruent,kyvpda,kilvpda
718,131,78,563118,option_1,겳어,1,lC,nonce,Vowel,kjvlp,v,kjvlpv,0.0,,0.0,0.0,,lp-v,lC+Vowel,kyvlpv,kilvpv
719,5,97,563118,option_1,굵나,5,lC,high,Sonorant,kulk,na,kulkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,kuNna,kulna
720,96,180,563118,option_1,굵어,5,lC,high,Vowel,kulk,v,kulkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,kulkv,kulkv
721,47,20,563118,option_3,굵다,5,lC,high,Obstruent,kulk,ta,kulkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,kulda,kulda
722,166,170,563118,option_2,긁다,5,lC,low,Obstruent,kxlk,ta,kxlkta,1.0,,0.0,0.0,,lk-t,lC+Obstruent,kxlkda,kxlda
723,56,38,563118,option_1,긁어,5,lC,low,Vowel,kxlk,v,kxlkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,kxlkv,kxlkv
724,79,178,563118,option_1,긁나,5,lC,low,Sonorant,kxlk,na,kxlkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,kxNna,kxNna
725,118,169,563118,option_1,긆어,1,lC,nonce,Vowel,kxlP,v,kxlPv,0.0,,0.0,0.0,,lP-v,lC+Vowel,kxlPv,kxlpv
726,117,49,563118,option_6,긆나,1,lC,nonce,Sonorant,kxlP,na,kxlPna,,1.0,0.0,0.0,0.0,lP-n,lC+Sonorant,kxlmna,kxlpna
727,53,146,563118,option_1,긆다,1,lC,nonce,Obstruent,kxlP,ta,kxlPta,0.0,,0.0,0.0,,lP-t,lC+Obstruent,kxlPta,kxlda
728,68,114,563118,option_2,낡나,5,lC,high,Sonorant,nalk,na,nalkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,nalkna,nalnka
729,125,171,563118,option_1,낡아,5,lC,high,Vowel,nalk,a,nalka,0.0,,0.0,0.0,,lk-a,lC+Vowel,nalka,nalga
730,93,126,563118,option_3,낡다,5,lC,high,Obstruent,nalk,ta,nalkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,nalda,nalda
731,51,61,563118,option_6,낣나,1,lC,nonce,Sonorant,nalp,na,nalpna,,1.0,0.0,0.0,0.0,lp-n,lC+Sonorant,nalmna,nalpna
732,57,46,563118,option_1,낣아,1,lC,nonce,Vowel,nalp,a,nalpa,0.0,,0.0,0.0,,lp-a,lC+Vowel,nalpa,nalpa
733,113,16,563118,option_2,낣다,1,lC,nonce,Obstruent,nalp,ta,nalpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,nalpda,nalda
734,88,95,563118,option_1,냍나,1,C,nonce,Sonorant,neT,na,neTna,,1.0,,,,T-n,C+Sonorant,nenna,netda
735,104,161,563118,option_1,냍어,1,C,nonce,Vowel,neT,v,neTv,0.0,,,,,T-v,C+Vowel,neTv,netgv
736,146,160,563118,option_2,냍다,1,C,nonce,Obstruent,neT,ta,neTta,1.0,,,,,T-t,C+Obstruent,netda,netda
737,28,84,563118,option_2,넓나,5,lC,high,Sonorant,nvlp,na,nvlpna,,0.0,0.0,0.0,0.0,lp-n,lC+Sonorant,nvlpna,nvlpna
738,136,120,563118,option_1,넓어,5,lC,high,Vowel,nvlp,v,nvlpv,0.0,,0.0,0.0,,lp-v,lC+Vowel,nvlpv,nvlpv
739,10,123,563118,option_2,넓다,5,lC,high,Obstruent,nvlp,ta,nvlpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,nvlpda,nvlda
740,73,36,563118,option_1,눅나,1,C,nonce,Sonorant,nuk,na,nukna,,1.0,,,,k-n,C+Sonorant,nuNna,nukna
741,156,44,563118,option_1,눅어,1,C,nonce,Vowel,nuk,v,nukv,0.0,,,,,k-v,C+Vowel,nukv,nukv
742,85,167,563118,option_2,눅다,1,C,nonce,Obstruent,nuk,ta,nukta,1.0,,,,,k-t,C+Obstruent,nukda,nukda
743,150,112,563118,option_1,늙나,5,lC,high,Sonorant,nxlk,na,nxlkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,nxNna,nxNna
744,129,37,563118,option_1,늙어,5,lC,high,Vowel,nxlk,v,nxlkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,nxlkv,nxlkv
745,139,51,563118,option_3,늙다,5,lC,high,Obstruent,nxlk,ta,nxlkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,nxlda,nxlda
746,4,91,563118,option_2,덟나,1,lC,nonce,Sonorant,tvlp,na,tvlpna,,0.0,0.0,0.0,0.0,lp-n,lC+Sonorant,tvlpna,tvlpna
747,69,154,563118,option_2,덟다,1,lC,nonce,Obstruent,tvlp,ta,tvlpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,tvlpda,tvlda
748,100,9,563118,option_1,덟어,1,lC,nonce,Vowel,tvlp,v,tvlpv,0.0,,0.0,0.0,,lp-v,lC+Vowel,tvlpv,tvlpv
749,160,64,563118,option_1,독나,1,C,nonce,Sonorant,tok,na,tokna,,1.0,,,,k-n,C+Sonorant,toNna,toNna
750,61,17,563118,option_2,독다,1,C,nonce,Obstruent,tok,ta,tokta,1.0,,,,,k-t,C+Obstruent,tokda,tokda
751,171,68,563118,option_1,독아,1,C,nonce,Vowel,tok,a,toka,0.0,,,,,k-a,C+Vowel,toka,tokga
752,180,29,563118,option_1,둡나,1,C,nonce,Sonorant,tup,na,tupna,,1.0,,,,p-n,C+Sonorant,tumna,tupna
753,64,32,563118,option_1,둡어,1,C,nonce,Vowel,tup,v,tupv,0.0,,,,,p-v,C+Vowel,tupv,tupv
754,40,142,563118,option_2,둡다,1,C,nonce,Obstruent,tup,ta,tupta,1.0,,,,,p-t,C+Obstruent,tupda,tupda
755,3,136,563118,option_2,듥다,1,lC,nonce,Obstruent,txlk,ta,txlkta,1.0,,0.0,0.0,,lk-t,lC+Obstruent,txlkda,txlkda
756,124,73,563118,option_1,듥나,1,lC,nonce,Sonorant,txlk,na,txlkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,txNna,txNna
757,87,162,563118,option_1,듥어,1,lC,nonce,Vowel,txlk,v,txlkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,txlkv,txlkv
758,14,131,563118,option_1,떫어,5,lC,low,Vowel,dvlp,v,dvlpv,0.0,,0.0,0.0,,lp-v,lC+Vowel,dvlpv,dvlpv
759,70,50,563118,option_2,떫다,5,lC,low,Obstruent,dvlp,ta,dvlpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,dvlpda,dvlda
760,99,159,563118,option_6,떫나,5,lC,low,Sonorant,dvlp,na,dvlpna,,1.0,0.0,0.0,0.0,lp-n,lC+Sonorant,dvlmna,dvlpna
761,164,147,563118,option_1,막아,5,C,high,Vowel,mak,a,maka,0.0,,,,,k-a,C+Vowel,maka,maka
762,165,119,563118,option_1,막나,5,C,high,Sonorant,mak,na,makna,,1.0,,,,k-n,C+Sonorant,maNna,maNna
763,60,4,563118,option_2,막다,5,C,high,Obstruent,mak,ta,makta,1.0,,,,,k-t,C+Obstruent,makda,makda
764,141,158,563118,option_3,맑다,5,lC,high,Obstruent,malk,ta,malkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,malda,malkda
765,49,79,563118,option_1,맑아,5,lC,high,Vowel,malk,a,malka,0.0,,0.0,0.0,,lk-a,lC+Vowel,malka,malga
766,158,48,563118,option_1,맑나,5,lC,high,Sonorant,malk,na,malkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,maNna,malnka
767,9,28,563118,option_2,멁나,1,lC,nonce,Sonorant,mvlk,na,mvlkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,mvlkna,mvkna
768,115,85,563118,option_1,멁어,1,lC,nonce,Vowel,mvlk,v,mvlkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,mvlkv,mvlkv
769,63,63,563118,option_2,멁다,1,lC,nonce,Obstruent,mvlk,ta,mvlkta,1.0,,0.0,0.0,,lk-t,lC+Obstruent,mvlkda,mvlkda
770,27,21,563118,option_2,묵다,5,C,low,Obstruent,muk,ta,mukta,1.0,,,,,k-t,C+Obstruent,mukda,mukda
771,16,106,563118,option_1,묵나,5,C,low,Sonorant,muk,na,mukna,,1.0,,,,k-n,C+Sonorant,muNna,mukna
772,163,65,563118,option_1,묵어,5,C,low,Vowel,muk,v,mukv,0.0,,,,,k-v,C+Vowel,mukv,mukv
773,123,156,563118,option_4,묽다,5,lC,low,Obstruent,mulk,ta,mulkta,1.0,,1.0,0.0,,lk-t,lC+Obstruent,mukda,mulkda
774,147,81,563118,option_1,묽어,5,lC,low,Vowel,mulk,v,mulkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,mulkv,mulkv
775,18,86,563118,option_2,묽나,5,lC,low,Sonorant,mulk,na,mulkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,mulkna,mukna
776,22,60,563118,option_1,박나,5,C,high,Sonorant,pak,na,pakna,,1.0,,,,k-n,C+Sonorant,paNna,panka
777,77,58,563118,option_1,박아,5,C,high,Vowel,pak,a,paka,0.0,,,,,k-a,C+Vowel,paka,paka
778,83,107,563118,option_2,박다,5,C,high,Obstruent,pak,ta,pakta,1.0,,,,,k-t,C+Obstruent,pakda,pakda
779,169,14,563118,option_1,밝아,5,lC,high,Vowel,palk,a,palka,0.0,,0.0,0.0,,lk-a,lC+Vowel,palka,palka
780,151,122,563118,option_2,밝나,5,lC,high,Sonorant,palk,na,palkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,palkna,palkna
781,142,135,563118,option_4,밝다,5,lC,high,Obstruent,palk,ta,palkta,1.0,,1.0,0.0,,lk-t,lC+Obstruent,pakda,palda
782,82,105,563118,option_1,밟아,5,lC,high,Vowel,palp,a,palpa,0.0,,0.0,0.0,,lp-a,lC+Vowel,palpa,palpa
783,135,172,563118,option_3,밟다,5,lC,high,Obstruent,palp,ta,palpta,1.0,,0.0,1.0,,lp-t,lC+Obstruent,palda,palda
784,29,8,563118,option_4,밟나,5,lC,high,Sonorant,palp,na,palpna,,0.0,0.0,1.0,0.0,lp-n,lC+Sonorant,palna,palpna
785,81,174,563118,option_1,뱉나,5,C,low,Sonorant,peT,na,peTna,,1.0,,,,T-n,C+Sonorant,penna,petna
786,67,101,563118,option_2,뱉다,5,C,low,Obstruent,peT,ta,peTta,1.0,,,,,T-t,C+Obstruent,petda,petda
787,178,11,563118,option_1,뱉어,5,C,low,Vowel,peT,v,peTv,0.0,,,,,T-v,C+Vowel,peTv,petdv
788,175,163,563118,option_1,법나,1,C,nonce,Sonorant,kvp,na,kvpna,,1.0,,,,p-n,C+Sonorant,pvmna,kvpna
789,148,116,563118,option_2,법다,1,C,nonce,Obstruent,kvp,ta,kvpta,1.0,,,,,p-t,C+Obstruent,pvpda,kvpda
790,45,39,563118,option_1,법어,1,C,nonce,Vowel,kvp,v,kvpv,0.0,,,,,p-v,C+Vowel,pvpv,kvpv
791,170,15,563118,option_3,붉다,5,lC,high,Obstruent,pulk,ta,pulkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,pulda,pulda
792,37,155,563118,option_1,붉어,5,lC,high,Vowel,pulk,v,pulkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,pulkv,pulkv
793,130,33,563118,option_2,붉나,5,lC,high,Sonorant,pulk,na,pulkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,pulkna,pulkna
794,78,133,563118,option_1,붍어,1,lC,nonce,Vowel,pulT,v,pulTv,0.0,,0.0,0.0,,lT-v,lC+Vowel,pulTv,pulkv
795,107,137,563118,option_3,붍나,1,lC,nonce,Sonorant,pulT,na,pulTna,,0.0,1.0,0.0,0.0,lT-n,lC+Sonorant,putna,pulkna
796,44,31,563118,option_3,붍다,1,lC,nonce,Obstruent,pulT,ta,pulTta,1.0,,0.0,1.0,,lT-t,lC+Obstruent,pulda,pulda
797,159,69,563118,option_2,뽑다,5,C,high,Obstruent,p*op,ta,p*opta,1.0,,,,,p-t,C+Obstruent,bopda,popda
798,52,149,563118,option_1,뽑아,5,C,high,Vowel,p*op,a,p*opa,0.0,,,,,p-a,C+Vowel,bopa,popapa
799,138,125,563118,option_1,뽑나,5,C,high,Sonorant,p*op,na,p*opna,,1.0,,,,p-n,C+Sonorant,bomna,popna
800,12,26,563118,option_1,속나,5,C,low,Sonorant,sok,na,sokna,,1.0,,,,k-n,C+Sonorant,soNna,*soNa
801,41,164,563118,option_1,속아,5,C,low,Vowel,sok,a,soka,0.0,,,,,k-a,C+Vowel,soka,sokga
802,179,75,563118,option_2,속다,5,C,low,Obstruent,sok,ta,sokta,1.0,,,,,k-t,C+Obstruent,sokda,sokda
803,105,74,563118,option_1,숡어,1,lC,nonce,Vowel,sulk,v,sulkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,sulkv,sulkv
804,119,1,563118,option_3,숡나,1,lC,nonce,Sonorant,sulk,na,sulkna,,0.0,1.0,0.0,0.0,lk-n,lC+Sonorant,sukna,*sumna
805,59,118,563118,option_3,숡다,1,lC,nonce,Obstruent,sulk,ta,sulkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,sulda,sulkda
806,48,138,563118,option_2,식다,5,C,low,Obstruent,sik,ta,sikta,1.0,,,,,k-t,C+Obstruent,sikda,sikda
807,33,176,563118,option_1,식나,5,C,low,Sonorant,sik,na,sikna,,1.0,,,,k-n,C+Sonorant,siNna,sikna
808,2,3,563118,option_1,식어,5,C,low,Vowel,sik,v,sikv,0.0,,,,,k-v,C+Vowel,sikv,sikv
809,75,151,563118,option_1,썩나,5,C,high,Sonorant,s*vk,na,s*vkna,,1.0,,,,k-n,C+Sonorant,SvNna,*svkga
810,92,94,563118,option_2,썩다,5,C,high,Obstruent,s*vk,ta,s*vkta,1.0,,,,,k-t,C+Obstruent,Svkda,svkda
811,167,145,563118,option_1,썩어,5,C,high,Vowel,s*vk,v,s*vkv,0.0,,,,,k-v,C+Vowel,Svkv,svkgv
812,17,128,563118,option_1,씹나,5,C,high,Sonorant,s*ip,na,s*ipna,,1.0,,,,p-n,C+Sonorant,Simna,*sipna
813,65,27,563118,option_2,씹다,5,C,high,Obstruent,s*ip,ta,s*ipta,1.0,,,,,p-t,C+Obstruent,Sipda,sipda
814,111,110,563118,option_1,씹어,5,C,high,Vowel,s*ip,v,s*ipv,0.0,,,,,p-v,C+Vowel,Sipv,sipv
815,143,70,563118,option_1,앍아,1,lC,nonce,Vowel,alk,a,alka,0.0,,0.0,0.0,,lk-a,lC+Vowel,alka,alga
816,133,139,563118,option_2,앍다,1,lC,nonce,Obstruent,alk,ta,alkta,1.0,,0.0,0.0,,lk-t,lC+Obstruent,alkda,alda
817,134,82,563118,option_2,앍나,1,lC,nonce,Sonorant,alk,na,alkna,,0.0,0.0,0.0,0.0,lk-n,lC+Sonorant,alkna,alna
818,168,30,563118,option_2,얇다,5,lC,low,Obstruent,yalp,ta,yalpta,1.0,,0.0,0.0,,lp-t,lC+Obstruent,yalpda,yalda
819,109,157,563118,option_6,얇나,5,lC,low,Sonorant,yalp,na,yalpna,,1.0,0.0,0.0,0.0,lp-n,lC+Sonorant,yalmna,yalpna
820,46,104,563118,option_1,얇아,5,lC,low,Vowel,yalp,a,yalpa,0.0,,0.0,0.0,,lp-a,lC+Vowel,yalpa,yalpa
821,13,177,563118,option_2,얕다,5,C,low,Obstruent,yaT,ta,yaTta,1.0,,,,,T-t,C+Obstruent,yatda,yatda
822,89,152,563118,option_1,얕아,5,C,low,Vowel,yaT,a,yaTa,0.0,,,,,T-a,C+Vowel,yaTa,yatda
823,173,117,563118,option_1,얕나,5,C,low,Sonorant,yaT,na,yaTna,,1.0,,,,T-n,C+Sonorant,yanna,yaNna
824,177,67,563118,option_1,얽어,1,lC,low,Vowel,vlk,v,vlkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,vlkv,vlkv
825,174,45,563118,option_2,얽다,1,lC,low,Obstruent,vlk,ta,vlkta,1.0,,0.0,0.0,,lk-t,lC+Obstruent,vlkda,vlda
826,155,179,563118,option_1,얽나,1,lC,low,Sonorant,vlk,na,vlkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,vNna,vlkna
827,103,165,563118,option_1,업나,5,C,low,Sonorant,vp,na,vpna,,1.0,,,,p-n,C+Sonorant,vmna,vpan
828,108,13,563118,option_1,업어,5,C,low,Vowel,vp,v,vpv,0.0,,,,,p-v,C+Vowel,vpv,vpv
829,152,134,563118,option_2,업다,5,C,low,Obstruent,vp,ta,vpta,1.0,,,,,p-t,C+Obstruent,vpda,vpda
830,172,144,563118,option_2,엎다,5,C,low,Obstruent,vP,ta,vPta,1.0,,,,,P-t,C+Obstruent,vpda,vpda
831,140,100,563118,option_1,엎나,5,C,low,Sonorant,vP,na,vPna,,1.0,,,,P-n,C+Sonorant,vmna,vpna
832,127,47,563118,option_1,엎어,5,C,low,Vowel,vP,v,vPv,0.0,,,,,P-v,C+Vowel,vPv,vpv
833,80,5,563118,option_1,엷다,1,lC,low,Obstruent,yvlp,ta,yvlpta,0.0,,0.0,0.0,,lp-t,lC+Obstruent,jvlpta,yvlda
834,55,108,563118,option_6,엷나,1,lC,low,Sonorant,yvlp,na,yvlpna,,1.0,0.0,0.0,0.0,lp-n,lC+Sonorant,jvlmna,yvlpna
835,153,166,563118,option_1,엷어,1,lC,low,Vowel,yvlp,v,yvlpv,0.0,,0.0,0.0,,lp-v,lC+Vowel,jvlpv,yvlpv
836,112,90,563118,option_1,옅어,4,C,low,Vowel,yvT,v,yvTv,0.0,,,,,T-v,C+Vowel,jvTv,yvtdv
837,94,148,563118,option_2,옅다,4,C,low,Obstruent,yvT,ta,yvTta,1.0,,,,,T-t,C+Obstruent,jvtda,yvtda
838,86,57,563118,option_1,옅나,4,C,low,Sonorant,yvT,na,yvTna,,1.0,,,,T-n,C+Sonorant,jvnna,yvtda
839,26,41,563118,option_1,웁나,1,C,nonce,Sonorant,up,na,upna,,1.0,,,,p-n,C+Sonorant,umna,upna
840,97,87,563118,option_1,웁어,1,C,nonce,Vowel,up,v,upv,0.0,,,,,p-v,C+Vowel,upv,upv
841,126,77,563118,option_2,웁다,1,C,nonce,Obstruent,up,ta,upta,1.0,,,,,p-t,C+Obstruent,upda,upda
842,1,168,563118,option_1,읊어,5,lC,low,Vowel,xlP,v,xlPv,0.0,,0.0,0.0,,lP-v,lC+Vowel,xlPv,xlpv
843,122,140,563118,option_6,읊나,5,lC,low,Sonorant,xlP,na,xlPna,,1.0,0.0,0.0,0.0,lP-n,lC+Sonorant,xlmna,xNna
844,43,150,563118,option_2,읊다,5,lC,low,Obstruent,xlP,ta,xlPta,1.0,,0.0,0.0,,lP-t,lC+Obstruent,xlPda,xlda
845,98,55,563118,option_1,익나,5,C,low,Sonorant,ik,na,ikna,,1.0,,,,k-n,C+Sonorant,iNna,ikna
846,120,127,563118,option_2,익다,5,C,low,Obstruent,ik,ta,ikta,1.0,,,,,k-t,C+Obstruent,ikda,ikda
847,110,124,563118,option_1,익어,5,C,low,Vowel,ik,v,ikv,0.0,,,,,k-v,C+Vowel,ikv,ikv
848,32,34,563118,option_1,읽나,5,lC,high,Sonorant,ilk,na,ilkna,,1.0,1.0,0.0,0.0,lk-n,lC+Sonorant,iNna,ilna
849,8,88,563118,option_3,읽다,5,lC,high,Obstruent,ilk,ta,ilkta,1.0,,0.0,1.0,,lk-t,lC+Obstruent,ilda,ilda
850,176,52,563118,option_1,읽어,5,lC,high,Vowel,ilk,v,ilkv,0.0,,0.0,0.0,,lk-v,lC+Vowel,ilkv,ilkv
851,121,10,563118,option_1,입나,5,C,high,Sonorant,ip,na,ipna,,1.0,,,,p-n,C+Sonorant,imna,ipna
852,101,6,563118,option_1,입어,5,C,high,Vowel,ip,v,ipv,0.0,,,,,p-v,C+Vowel,ipv,ipv
853,72,96,563118,option_2,입다,5,C,high,Obstruent,ip,ta,ipta,1.0,,,,,p-t,C+Obstruent,ipda,ipda
854,34,83,563118,option_2,작다,5,C,high,Obstruent,cak,ta,cakta,1.0,,,,,k-t,C+Obstruent,cakda,cakda
855,50,113,563118,option_1,작아,5,C,high,Vowel,cak,a,caka,0.0,,,,,k-a,C+Vowel,caka,cakga
